Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2015,Jan,Alameda County,Not Adj,Not Prelim,811500,767600,43900,5.4
2015,Feb,Alameda County,Not Adj,Not Prelim,813100,771600,41600,5.1
2015,Mar,Alameda County,Not Adj,Not Prelim,815300,774300,41000,5
2015,Apr,Alameda County,Not Adj,Not Prelim,813600,775700,37900,4.7
2015,May,Alameda County,Not Adj,Not Prelim,818500,780300,38100,4.7
2015,Jun,Alameda County,Not Adj,Not Prelim,818800,778200,40500,5
2015,Jul,Alameda County,Not Adj,Not Prelim,824800,782600,42100,5.1
2015,Aug,Alameda County,Not Adj,Not Prelim,822000,782200,39800,4.8
2015,Sep,Alameda County,Not Adj,Not Prelim,820300,783900,36400,4.4
2015,Oct,Alameda County,Not Adj,Not Prelim,822200,785100,37100,4.5
2015,Nov,Alameda County,Not Adj,Not Prelim,823800,787500,36300,4.4
2015,Dec,Alameda County,Not Adj,Not Prelim,824300,789700,34600,4.2
2015,Jan,Alpine County,Not Adj,Not Prelim,570,530,40,6.5
2015,Feb,Alpine County,Not Adj,Not Prelim,560,520,40,6.8
2015,Mar,Alpine County,Not Adj,Not Prelim,540,500,40,7.6
2015,Apr,Alpine County,Not Adj,Not Prelim,590,540,40,7.2
2015,May,Alpine County,Not Adj,Not Prelim,530,490,40,8.2
2015,Jun,Alpine County,Not Adj,Not Prelim,520,480,50,9
2015,Jul,Alpine County,Not Adj,Not Prelim,530,480,40,8.3
2015,Aug,Alpine County,Not Adj,Not Prelim,530,490,40,7.5
2015,Sep,Alpine County,Not Adj,Not Prelim,530,490,40,7.6
2015,Oct,Alpine County,Not Adj,Not Prelim,510,470,40,7.9
2015,Nov,Alpine County,Not Adj,Not Prelim,540,500,40,6.8
2015,Dec,Alpine County,Not Adj,Not Prelim,650,610,40,5.6
2015,Jan,Amador County,Not Adj,Not Prelim,14230,13080,1140,8
2015,Feb,Amador County,Not Adj,Not Prelim,14250,13170,1080,7.6
2015,Mar,Amador County,Not Adj,Not Prelim,14310,13240,1070,7.4
2015,Apr,Amador County,Not Adj,Not Prelim,14320,13350,970,6.8
2015,May,Amador County,Not Adj,Not Prelim,14460,13530,930,6.4
2015,Jun,Amador County,Not Adj,Not Prelim,14510,13560,950,6.6
2015,Jul,Amador County,Not Adj,Not Prelim,14540,13570,960,6.6
2015,Aug,Amador County,Not Adj,Not Prelim,14450,13560,890,6.2
2015,Sep,Amador County,Not Adj,Not Prelim,14350,13530,820,5.7
2015,Oct,Amador County,Not Adj,Not Prelim,14250,13400,860,6
2015,Nov,Amador County,Not Adj,Not Prelim,14130,13250,880,6.2
2015,Dec,Amador County,Not Adj,Not Prelim,14000,13140,860,6.2
2015,Jan,Butte County,Not Adj,Not Prelim,100600,92000,8700,8.6
2015,Feb,Butte County,Not Adj,Not Prelim,101200,93000,8200,8.1
2015,Mar,Butte County,Not Adj,Not Prelim,101100,93100,8000,7.9
2015,Apr,Butte County,Not Adj,Not Prelim,100700,93600,7200,7.1
2015,May,Butte County,Not Adj,Not Prelim,101800,94700,7100,6.9
2015,Jun,Butte County,Not Adj,Not Prelim,100900,93300,7600,7.6
2015,Jul,Butte County,Not Adj,Not Prelim,100500,92800,7700,7.7
2015,Aug,Butte County,Not Adj,Not Prelim,100700,93700,7000,7
2015,Sep,Butte County,Not Adj,Not Prelim,101200,94900,6300,6.2
2015,Oct,Butte County,Not Adj,Not Prelim,101900,95600,6300,6.2
2015,Nov,Butte County,Not Adj,Not Prelim,101200,94400,6700,6.6
2015,Dec,Butte County,Not Adj,Not Prelim,100900,94100,6800,6.8
2015,Jan,Calaveras County,Not Adj,Not Prelim,20310,18790,1520,7.5
2015,Feb,Calaveras County,Not Adj,Not Prelim,20360,18900,1460,7.2
2015,Mar,Calaveras County,Not Adj,Not Prelim,20370,18950,1420,7
2015,Apr,Calaveras County,Not Adj,Not Prelim,20470,19150,1320,6.5
2015,May,Calaveras County,Not Adj,Not Prelim,20700,19400,1300,6.3
2015,Jun,Calaveras County,Not Adj,Not Prelim,20800,19450,1350,6.5
2015,Jul,Calaveras County,Not Adj,Not Prelim,20830,19430,1400,6.7
2015,Aug,Calaveras County,Not Adj,Not Prelim,20700,19440,1260,6.1
2015,Sep,Calaveras County,Not Adj,Not Prelim,20380,19210,1170,5.8
2015,Oct,Calaveras County,Not Adj,Not Prelim,20500,19300,1200,5.9
2015,Nov,Calaveras County,Not Adj,Not Prelim,20520,19320,1200,5.9
2015,Dec,Calaveras County,Not Adj,Not Prelim,20660,19440,1220,5.9
2015,Jan,Colusa County,Not Adj,Not Prelim,10740,8200,2540,23.7
2015,Feb,Colusa County,Not Adj,Not Prelim,10900,8390,2510,23
2015,Mar,Colusa County,Not Adj,Not Prelim,10790,8450,2340,21.7
2015,Apr,Colusa County,Not Adj,Not Prelim,10760,8990,1770,16.4
2015,May,Colusa County,Not Adj,Not Prelim,11120,9620,1490,13.4
2015,Jun,Colusa County,Not Adj,Not Prelim,11180,9720,1470,13.1
2015,Jul,Colusa County,Not Adj,Not Prelim,11530,10210,1320,11.4
2015,Aug,Colusa County,Not Adj,Not Prelim,11630,10490,1140,9.8
2015,Sep,Colusa County,Not Adj,Not Prelim,11490,10450,1040,9.1
2015,Oct,Colusa County,Not Adj,Not Prelim,11200,10000,1200,10.7
2015,Nov,Colusa County,Not Adj,Not Prelim,10600,8920,1670,15.8
2015,Dec,Colusa County,Not Adj,Not Prelim,10690,8670,2020,18.9
2015,Jan,Contra Costa County,Not Adj,Not Prelim,540400,509200,31200,5.8
2015,Feb,Contra Costa County,Not Adj,Not Prelim,541400,511500,29900,5.5
2015,Mar,Contra Costa County,Not Adj,Not Prelim,542800,513600,29200,5.4
2015,Apr,Contra Costa County,Not Adj,Not Prelim,541200,514400,26900,5
2015,May,Contra Costa County,Not Adj,Not Prelim,544700,517700,26900,4.9
2015,Jun,Contra Costa County,Not Adj,Not Prelim,544700,516000,28700,5.3
2015,Jul,Contra Costa County,Not Adj,Not Prelim,548500,518900,29600,5.4
2015,Aug,Contra Costa County,Not Adj,Not Prelim,546400,518800,27700,5.1
2015,Sep,Contra Costa County,Not Adj,Not Prelim,545000,519600,25400,4.7
2015,Oct,Contra Costa County,Not Adj,Not Prelim,546200,520400,25900,4.7
2015,Nov,Contra Costa County,Not Adj,Not Prelim,547100,521800,25300,4.6
2015,Dec,Contra Costa County,Not Adj,Not Prelim,547100,522900,24200,4.4
2015,Jan,Del Norte County,Not Adj,Not Prelim,9820,8840,980,10
2015,Feb,Del Norte County,Not Adj,Not Prelim,9760,8790,970,9.9
2015,Mar,Del Norte County,Not Adj,Not Prelim,9820,8860,960,9.8
2015,Apr,Del Norte County,Not Adj,Not Prelim,9910,9040,870,8.8
2015,May,Del Norte County,Not Adj,Not Prelim,9990,9180,810,8.1
2015,Jun,Del Norte County,Not Adj,Not Prelim,10090,9250,840,8.4
2015,Jul,Del Norte County,Not Adj,Not Prelim,9740,8890,850,8.7
2015,Aug,Del Norte County,Not Adj,Not Prelim,9840,9050,790,8.1
2015,Sep,Del Norte County,Not Adj,Not Prelim,10010,9300,710,7.1
2015,Oct,Del Norte County,Not Adj,Not Prelim,9840,9100,750,7.6
2015,Nov,Del Norte County,Not Adj,Not Prelim,9780,8990,790,8.1
2015,Dec,Del Norte County,Not Adj,Not Prelim,9680,8840,840,8.6
2015,Jan,El Dorado County,Not Adj,Not Prelim,87800,81900,5900,6.7
2015,Feb,El Dorado County,Not Adj,Not Prelim,87700,82100,5600,6.4
2015,Mar,El Dorado County,Not Adj,Not Prelim,87900,82400,5500,6.3
2015,Apr,El Dorado County,Not Adj,Not Prelim,87600,82400,5200,5.9
2015,May,El Dorado County,Not Adj,Not Prelim,88000,82900,5000,5.7
2015,Jun,El Dorado County,Not Adj,Not Prelim,88000,82900,5100,5.8
2015,Jul,El Dorado County,Not Adj,Not Prelim,88300,83100,5200,5.9
2015,Aug,El Dorado County,Not Adj,Not Prelim,87800,83000,4800,5.4
2015,Sep,El Dorado County,Not Adj,Not Prelim,87500,83100,4400,5.1
