Locations,Gini Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne Counties",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte County,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colusa, Glenn, Tehama, and Trinity Counties",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Del Norte, Lassen, Modoc, Plumas, and Siskiyou Counties",0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado County,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings County,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake and Mendocino Counties,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera County,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced County,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey and San Benito Counties,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa County,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada and Sierra Counties,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer County,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside County,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino County,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano County,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus County,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter and Yuba Counties,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura County,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo County,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definition: Difference between the estimated distribution of household income and a perfectly equal distribution, measured between 0 and 1 (e.g., in 2019, the Gini coefficient of income inequality among California households was 0.4866).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Source: As cited on kidsdata.org, Population Reference Bureau, analysis of U.S. Census Bureau American Community Survey summary files and public use microdata (Oct. 2020).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloaded on 5/13/2024 8:04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.kidsdata.org/topic/2172/income-gini-index/table#fmt=2686&loc=127,1657,331,1761,171,2168,345,357,324,369,362,360,2076,364,356,217,354,1663,339,2169,365,343,367,344,366,368,265,349,361,4,273,59,370,326,341,338,350,2145,359,363,340&tf=84&sortType=asc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
