county,povr_whole_white_estimate,povr_whole_cont_native_estimate,povr_whole_asian_estimate,povr_whole_black_estimate,povr_whole_latine_estimate,povr_whole_island_native_estimate,povr_whole_multiracial_estimate,povr_whole_other_race_estimate,povr_whole_total_estimate,povr_kids_asian_estimate,povr_kids_cont_native_estimate,povr_kids_black_estimate,povr_kids_latine_estimate,povr_kids_island_native_estimate,povr_kids_white_estimate,povr_kids_multiracial_estimate,povr_kids_other_race_estimate,povr_kids_total_estimate
Alameda,17.225531948054,38.3407596011033,21.380196333068,43.3820430756614,41.8509996217109,30.3345838756604,25.5180370740712,26.5975403906438,27.4271122936612,18.8147646461226,39.7085610200364,58.5379264839304,50.12736255269,36.7656765676568,13.8438880706922,22.3550337958022,20.5271565495208,32.4338376899325
Amador,26.5871875897731,45.4545454545455,26.980198019802,25.8064516129032,40.1015228426396,,21.5311004784689,,28.1863267106824,,,,,,,,,
Butte,38.0430045942951,54.3150684931507,69.3155080213904,60.5678233438486,59.5951932997512,,59.1445276438609,,44.0354192240321,71.6005349977708,38.4615384615385,38.3866481223922,61.1238008222933,100.0,38.8476454293629,54.5670789724072,51.25,47.4084797438091
Calaveras,26.8018448271157,,,,41.0320432792343,,47.355623100304,,29.9473101015355,,,,,,,,,
Colusa,19.1252686133232,35.1851851851852,,,57.0068920249426,,,,42.0829005759607,,,,,,,,,
Contra Costa,15.175204745779,27.7036048064085,18.4128274999848,38.690431072755,42.3176333318564,38.2068164213788,26.1459129106188,21.7486338797814,25.0722938360186,17.7000898628866,16.1739130434783,56.6752217569454,49.1027804921382,20.8092485549133,14.3195079640435,23.6825425570445,31.7142857142857,31.310822284632
Del Norte,42.359596912016,46.6415094339623,55.0102249488753,55.952380952381,64.6551724137931,,59.8149050170482,,47.1459658520254,,,,,,,,,
El Dorado,22.332831272549,29.162656400385,8.21683309557775,25.4076086956522,47.234878942196,,26.9654665686995,,25.1170937470553,2.07869339272457,4.20168067226891,35.1282051282051,47.3470987976999,38.7096774193548,24.638344974999,16.6528583264292,75.5905511811024,28.1127642913078
Fresno,28.70094140617,62.7221597300337,51.2970748231763,63.843648208469,62.9965606898368,59.82636148382,42.2552990059433,33.5758254057079,50.7317441801059,63.0713606089439,65.3923541247485,79.10966669186,72.1393034825871,73.7410071942446,36.5367784162259,47.6064533192277,17.8082191780822,64.1017072180359
Glenn,36.1763715920565,35.6846473029046,77.956204379562,,61.2153381531985,,,,47.3846488682531,,,,,,,,,
Humboldt,39.8698662846227,63.1621975147155,62.5292740046838,59.3650793650794,61.290083685107,,54.9370764762827,,44.6850857268742,54.6268656716418,82.6899879372738,57.243816254417,66.7371537322901,44.1176470588235,40.1486528336946,65.3298835705045,,50.5025508261631
Imperial,28.4074403785785,60.3856266432954,21.7771639042357,38.5654401490452,56.2435233160622,,39.1654465592972,,51.8929226869758,45.4987834549878,84.4202898550725,42.6470588235294,61.042027729636,,27.0286047869235,27.0916334661355,,58.1213726483076
Inyo,25.0682593856655,45.049504950495,,,45.0284090909091,,16.8582375478927,,31.2408512554893,,,,,,,,,
Kern,31.1228923476005,48.7378640776699,31.9741395498565,58.0503995082975,61.2026525373218,55.4906542056075,40.3869958954981,53.1285551763367,48.1563215855598,33.7452574525745,73.0769230769231,67.8658043654002,70.2606104820466,68.7657430730479,36.9268430467941,44.4703622392975,80.4347826086957,59.8478155103629
Kings,30.0717069704343,54.8812664907652,24.9949402954867,50.6041478809738,63.5998873715332,,40.5114401076716,,49.3584848599403,34.5238095238095,54.3243243243243,53.8199181446112,69.8035312764938,100.0,38.8917499227521,41.5081967213115,100.0,60.2783155856728
Lake,43.4259922314085,64.5522388059701,,65.4123298638911,68.0996831377922,,46.3299131807419,,49.1764668689934,,,,,,,,,
Lassen,29.4933078393881,32.0668693009119,15.4639175257732,49.0974729241877,45.1612903225806,,16.2217659137577,,30.656264341441,,,,,,,,,
Los Angeles,22.6048508386522,37.5716547469564,29.2643524001951,44.2700169029067,53.6721864154685,37.2147526828667,26.6414349185453,37.1401938851603,40.4907864379328,31.4720409942154,31.0080490609429,58.1464936452251,63.9948583370602,47.4244771494965,21.7496570091195,25.1189612561325,41.0031203050965,51.7509068355013
