county,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite
Alameda,30404.0,78508.0,387.2726346359608,528.0,78.64166709125186,2252.0,58612.0,38.422166109329154,98.0,78.78762028253601
Amador,320.0,1202.0,266.22296173044924,14.0,28.785357737104825,24.0,834.0,28.776978417266196,2.0,28.05755395683453
Butte,2984.0,9973.0,299.2078612253084,74.0,41.4418931114008,443.0,7322.0,60.50259491942092,25.0,42.024037148320126
Calaveras,471.0,1673.0,281.5301852958756,18.0,25.70233114166168,52.0,1156.0,44.98269896193772,3.0,25.346020761245672
Colusa,306.0,1506.0,203.187250996016,11.0,79.15006640106243,110.0,1097.0,100.27347310847765,4.0,80.94804010938925
Contra Costa,18271.0,56056.0,325.9419152276295,320.0,67.24168688454401,1785.0,38823.0,45.97789969863225,73.0,68.89472735234268
Del Norte,277.0,1346.0,205.79494799405643,10.0,47.17682020802376,20.0,972.0,20.5761316872428,1.0,48.86831275720165
El Dorado,2718.0,8201.0,331.422997195464,62.0,33.55688330691379,275.0,5318.0,51.71116961263633,19.0,34.37382474614516
Fresno,13564.0,63454.0,213.76114980931075,290.0,81.86087559491918,1061.0,47329.0,22.41754526822878,48.0,82.37232986118448
Glenn,305.0,1729.0,176.40254482359745,10.0,60.32388663967615,48.0,1308.0,36.697247706422026,3.0,62.46177370030582
Humboldt,1797.0,6221.0,288.86031184697,53.0,38.884423726089054,148.0,4551.0,32.52032520325202,6.0,38.69479235332893
Imperial,2659.0,10981.0,242.14552408705944,56.0,92.26846371004464,145.0,8118.0,17.86154225178616,7.0,92.79379157427938
Inyo,327.0,837.0,390.6810035842294,14.0,58.78136200716849,,655.0,,,57.40458015267176
Kern,10807.0,57922.0,186.5785021235455,188.0,74.90418148544595,578.0,43784.0,13.201169376941344,31.0,75.41110908094282
Kings,1731.0,10207.0,169.5894974037425,42.0,76.18301165866563,65.0,7782.0,8.352608583911591,4.0,75.93163711128243
Lake,583.0,2959.0,197.0260223048328,20.0,45.35315985130112,78.0,2181.0,35.76341127922969,3.0,46.53828519027968
Lassen,344.0,1255.0,274.10358565737056,11.0,29.482071713147405,22.0,990.0,22.222222222222225,2.0,33.03030303030303
Los Angeles,160580.0,516583.0,310.85033769984693,2641.0,83.36898426777498,9823.0,388055.0,25.31342206645965,430.0,83.62500161059644
Madera,1781.0,9748.0,182.7041444398851,50.0,80.1702913418137,70.0,7077.0,9.89119683481701,5.0,81.06542320192169
Marin,6131.0,11915.0,514.5614771296684,122.0,38.94250944187999,339.0,8078.0,41.96583312701165,17.0,42.51052240653625
Mariposa,123.0,634.0,194.006309148265,6.0,30.283911671924287,,462.0,,,27.92207792207792
Mendocino,1226.0,4299.0,285.1826006047919,37.0,53.84973249592929,36.0,3178.0,11.32787916928886,3.0,53.39836375078668
Merced,3285.0,18077.0,181.7226309675278,76.0,81.42390883443049,259.0,12994.0,19.93227643527782,16.0,81.40680313991075
Modoc,173.0,422.0,409.9526066350711,7.0,31.990521327014207,24.0,317.0,75.70977917981072,2.0,30.283911671924287
Mono,184.0,708.0,259.88700564971754,7.0,55.64971751412431,52.0,533.0,97.5609756097561,3.0,57.22326454033775
Monterey,5455.0,26146.0,208.63612024783905,126.0,84.15818863306048,357.0,19529.0,18.280505914281324,20.0,84.5563008858621
Napa,1996.0,6676.0,298.98142600359495,52.0,64.97902935889755,109.0,4741.0,22.990930183505597,5.0,66.06201223370599
Nevada,1097.0,3629.0,302.2871314411684,30.0,24.13888123449986,108.0,2564.0,42.12168486739471,5.0,27.45709828393137
Orange,51563.0,157120.0,328.175916496945,761.0,71.04951629327903,3818.0,113361.0,33.68001340849146,165.0,72.3441042333783
Placer,5147.0,17627.0,291.9952345833096,99.0,35.61014352981221,689.0,12064.0,57.11206896551724,29.0,36.8120026525199
Plumas,236.0,748.0,315.5080213903745,9.0,26.069518716577544,12.0,534.0,22.471910112359552,1.0,27.34082397003745
Riverside,24073.0,133445.0,180.39641799992503,364.0,75.85746936940313,1952.0,95543.0,20.43059146143621,79.0,76.14581915995939
Sacramento,22825.0,81973.0,278.44534175887185,420.0,66.43650958242347,2849.0,59821.0,47.62541582387456,122.0,66.69731365239632
San Benito,859.0,3417.0,251.3901082821188,20.0,77.69973661106232,29.0,2348.0,12.350936967632029,3.0,78.87563884156728
San Bernardino,22914.0,128387.0,178.47601392664373,395.0,79.42237142389804,1901.0,94281.0,20.163129368589644,84.0,79.11456178869548
San Diego,53599.0,161978.0,330.9029621306598,859.0,66.88871328205065,4549.0,122267.0,37.20546018140626,198.0,66.73182461334619
San Francisco,14329.0,26130.0,548.3735170302334,278.0,68.60696517412936,1316.0,22409.0,58.726404569592574,51.0,63.57713418715695
San Joaquin,10092.0,44461.0,226.9854479206496,218.0,79.28746541913138,828.0,31806.0,26.03282399547256,37.0,79.6579261774508
San Luis Obispo,3512.0,10991.0,319.5341643162588,89.0,46.2014375398053,205.0,7845.0,26.131293817718284,9.0,46.69216061185469
San Mateo,14799.0,37173.0,398.1115325639576,260.0,68.53361310628681,1171.0,27690.0,42.28963524738175,39.0,70.27807872878296
Santa Barbara,6425.0,22120.0,290.46112115732376,149.0,73.26853526220611,446.0,16335.0,27.303336394245484,19.0,74.55157636975822
Santa Clara,41281.0,100993.0,408.7511015614944,602.0,78.01035715346607,3808.0,73761.0,51.62619812638116,130.0,79.37392388931822
