county,sui_rate_avg,sui_adjusted_rate_avg
Alameda,9.1385,8.665500000000002
Amador,28.035000000000004,24.075
Butte,17.48,16.965
Calaveras,26.314999999999998,22.93
Colusa,24.28,26.57
Contra Costa,10.115,9.7255
Del Norte,24.16,22.69
El Dorado,17.295,16.085
Fresno,9.845500000000001,10.48
Glenn,29.8,28.31
Humboldt,24.255000000000003,23.61
Imperial,7.587,7.899
Inyo,21.475,15.93
Kern,12.885,13.57
Kings,10.229,11.105
Lake,28.435000000000002,26.62
Lassen,23.73,22.505
Los Angeles,7.944000000000001,7.695
Madera,12.67,13.235
Marin,14.629999999999999,12.215
Mariposa,31.285,32.72
Mendocino,22.96,22.615000000000002
Merced,9.5325,10.4205
Modoc,,
Mono,,
Monterey,9.221499999999999,9.1435
Napa,11.84,10.964500000000001
Nevada,21.37,18.185
Orange,9.9605,9.4995
Placer,12.469999999999999,11.274999999999999
Plumas,21.21,18.66
Riverside,10.895,10.79
Sacramento,13.29,13.025
San Benito,10.34,11.24
San Bernardino,10.0205,10.435
San Diego,12.715,12.39
San Francisco,9.941500000000001,8.8095
San Joaquin,10.3555,10.685
San Luis Obispo,18.5,16.240000000000002
San Mateo,7.709,7.2010000000000005
Santa Barbara,12.36,11.934999999999999
Santa Clara,7.779999999999999,7.470000000000001
Santa Cruz,15.61,15.165
Shasta,24.645,22.655
Sierra,,
Siskiyou,24.695,21.915
Solano,11.575,11.11
Sonoma,13.385000000000002,11.989999999999998
Stanislaus,10.195,10.35
Sutter,15.41,15.02
Tehama,17.72,17.32
Trinity,39.51,43.87
Tulare,10.058499999999999,10.71
Tuolumne,20.78,16.535
Ventura,11.39,10.855
Yolo,10.17,10.4925
Yuba,16.585,17.06
