Locations,Gini Coefficient
California,0.5
Alameda County,0.5
Amador County,S
Butte County,0.5
Calaveras County,S
Colusa County,S
Contra Costa County,0.5
Del Norte County,S
El Dorado County,0.5
Fresno County,0.5
Glenn County,S
Humboldt County,0.5
Imperial County,0.5
Inyo County,0.4
Kern County,0.5
Kings County,0.4
Lake County,0.5
Lassen County,0.4
Los Angeles County,0.5
Madera County,0.5
Marin County,0.5
Mariposa County,S
Mendocino County,S
Merced County,0.5
Mono County,S
Monterey County,0.5
Napa County,0.5
Nevada County,0.5
Orange County,0.5
Placer County,0.4
Plumas County,S
Riverside County,0.5
Sacramento County,0.5
San Benito County,0.4
San Bernardino County,0.4
San Diego County,0.5
San Francisco County,0.5
San Joaquin County,0.5
San Luis Obispo County,0.5
San Mateo County,0.5
Santa Barbara County,0.5
Santa Clara County,0.5
Santa Cruz County,0.5
Shasta County,0.5
Siskiyou County,0.5
Solano County,0.4
Sonoma County,0.5
Stanislaus County,0.4
Sutter County,0.4
Tehama County,0.5
Trinity County,S
Tulare County,0.5
Tuolumne County,S
Ventura County,0.4
Yolo County,0.5
Yuba County,0.4
