county,graduation_2019_cohort_size,dropout_rate_2019_cohort
Alameda,17303,7.7
Amador,306,5.2
Butte,2541,10.4
Calaveras,461,4.3
Colusa,346,5.8
Contra Costa,14167,5.2
Del Norte,331,10.0
El Dorado,2208,4.0
Fresno,15407,9.4
Glenn,509,17.3
Humboldt,1467,9.7
Imperial,3127,10.4
Inyo,812,48.2
Kern,14224,8.0
Kings,2293,7.5
Lake,750,11.7
Lassen,298,5.7
Los Angeles,120444,10.6
Madera,2239,12.7
Marin,2645,5.3
Mariposa,160,1.3
Mendocino,1018,11.5
Merced,4554,7.2
Modoc,92,5.4
Mono,310,31.3
Monterey,5651,11.5
Napa,1689,7.8
Nevada,1959,48.1
Orange,40929,5.1
Placer,5947,6.3
Plumas,171,15.2
Riverside,33422,4.6
Sacramento,18859,8.7
San Benito,866,5.7
San Bernardino,31841,9.5
San Diego,40773,8.3
San Francisco,5983,31.4
San Joaquin,12031,9.1
San Luis Obispo,2926,4.3
San Mateo,7133,6.8
Santa Barbara,5221,9.4
Santa Clara,21276,9.0
Santa Cruz,3235,12.3
Shasta,2211,8.7
Sierra,23,0.0
Siskiyou,470,6.8
Solano,4880,12.3
Sonoma,5363,11.8
Stanislaus,8504,9.5
Sutter,1873,10.0
Tehama,705,4.7
Trinity,145,15.2
Tulare,7540,7.4
Tuolumne,521,7.5
Ventura,10829,6.0
Yolo,2342,6.7
Yuba,987,17.0
