county,total_expenditures
Alameda,"$400,818.06 "
Amador,$268.49 
Butte,"$179,813.97 "
Calaveras,"$3,993.16 "
Colusa,"$1,066.25 "
Contra Costa,"$860,001.75 "
Del Norte,$303.22 
El Dorado,"$11,480.59 "
Fresno,"$610,093.30 "
Glenn,"$5,855.55 "
Humboldt,"$72,043.25 "
Imperial,"$22,656.33 "
Inyo,"$1,660.82 "
Kern,"$373,915.27 "
Kings,"$12,667.67 "
Lake,"$8,858.93 "
Lassen,"$1,405.71 "
Los Angeles,"$6,451,591.05 "
Madera,"$53,610.21 "
Marin,"$137,681.55 "
Mariposa,"$1,547.72 "
Mendocino,"$53,800.14 "
Merced,"$26,036.33 "
Modoc,$507.09 
Mono,$284.80 
Monterey,"$160,011.20 "
Napa,"$71,130.79 "
Nevada,"$5,166.20 "
Orange,"$1,058,066.55 "
Placer,"$134,154.44 "
Plumas,"$1,044.07 "
Riverside,"$759,009.13 "
Sacramento,"$662,075.55 "
San Benito,"$17,959.05 "
San Bernardino,"$1,285,805.76 "
San Diego,"$989,643.24 "
San Francisco,"$389,019.51 "
San Joaquin,"$275,769.30 "
San Luis Obispo,"$65,447.47 "
San Mateo,"$209,533.35 "
Santa Barbara,"$146,329.56 "
Santa Clara,"$707,896.94 "
Santa Cruz,"$156,590.60 "
Shasta,"$70,095.63 "
Sierra,$507.09 
Siskiyou,"$1,578.46 "
Solano,"$272,060.71 "
Sonoma,"$170,796.00 "
Stanislaus,"$345,628.18 "
Sutter,"$70,620.30 "
Tehama,"$6,886.41 "
Tulare,"$53,036.76 "
Tuolumne,"$2,754.90 "
Ventura,"$195,961.16 "
Yolo,"$45,289.57 "
Yuba,"$7,417.30 "
