county,abortion_rs_count_total,abortion_rs_count_total_suppressed
Alameda,3932.0,0.0
Amador,24.0,0.0
Butte,1477.0,0.0
Calaveras,95.0,0.0
Colusa,31.0,0.0
Contra Costa,4938.0,0.0
Del Norte,82.0,0.0
El Dorado,281.0,0.0
Fresno,4894.0,0.0
Glenn,115.0,0.0
Humboldt,1048.0,0.0
Imperial,326.0,0.0
Inyo,23.0,0.0
Kern,4243.0,0.0
Kings,234.0,0.0
Lake,392.0,0.0
Lassen,98.0,0.0
Los Angeles,37817.0,0.0
Madera,401.0,0.0
Marin,936.0,0.0
Mariposa,34.0,0.0
Mendocino,675.0,0.0
Merced,661.0,0.0
Modoc,15.0,0.0
Mono,11.0,0.0
Monterey,1162.0,0.0
Napa,406.0,0.0
Nevada,232.0,0.0
Orange,6842.0,0.0
Placer,789.0,0.0
Plumas,43.0,0.0
Riverside,5662.0,0.0
Sacramento,6244.0,0.0
San Benito,112.0,0.0
San Bernardino,8998.0,0.0
San Diego,7066.0,0.0
San Francisco,3291.0,0.0
San Joaquin,4005.0,0.0
San Luis Obispo,308.0,0.0
San Mateo,2378.0,0.0
Santa Barbara,702.0,0.0
Santa Clara,3684.0,0.0
Santa Cruz,790.0,0.0
Shasta,1340.0,0.0
Sierra,,1.0
Siskiyou,165.0,0.0
Solano,2642.0,0.0
Sonoma,1952.0,0.0
Stanislaus,2536.0,0.0
Sutter,469.0,0.0
Tehama,224.0,0.0
Trinity,73.0,0.0
Tulare,585.0,0.0
Tuolumne,81.0,0.0
Ventura,1913.0,0.0
Yolo,671.0,0.0
Yuba,252.0,0.0
