county,total_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_white_estimate,povr_whole_cont_native_estimate,povr_whole_asian_estimate,povr_whole_black_estimate,povr_whole_latine_estimate,povr_whole_island_native_estimate,povr_whole_multiracial_estimate,povr_whole_other_race_estimate,povr_whole_total_estimate,povr_kids_asian_estimate,povr_kids_cont_native_estimate,povr_kids_black_estimate,povr_kids_latine_estimate,povr_kids_island_native_estimate,povr_kids_white_estimate,povr_kids_multiracial_estimate,povr_kids_other_race_estimate,povr_kids_total_estimate,sui_rate_2012_2014,sui_age_adjusted_rate_2012_2014,sui_rate_2015_2017,sui_age_adjusted_rate_2015_2017,unemployment_rate,labor_force_size,sui_rate_avg,sui_adjusted_rate_avg
Alameda,"$400,818.06 ",3932.0,0.0,30404.0,78508.0,387.2726346359608,528.0,78.64166709125186,2252.0,58612.0,38.422166109329154,98.0,78.78762028253601,17303,7.7,0.7,0.54,17.225531948054,38.3407596011033,21.380196333068,43.3820430756614,41.8509996217109,30.3345838756604,25.5180370740712,26.5975403906438,27.4271122936612,18.8147646461226,39.7085610200364,58.5379264839304,50.12736255269,36.7656765676568,13.8438880706922,22.3550337958022,20.5271565495208,32.4338376899325,9.281,8.835,8.996,8.496,4.7749999999999995,819016.6666666666,9.1385,8.665500000000002
Amador,$268.49 ,24.0,0.0,320.0,1202.0,266.22296173044924,14.0,28.785357737104825,24.0,834.0,28.776978417266196,2.0,28.05755395683453,306,5.2,0.6,0.3,26.5871875897731,45.4545454545455,26.980198019802,25.8064516129032,40.1015228426396,,21.5311004784689,,28.1863267106824,,,,,,,,,,33.7,27.63,22.37,20.52,6.641666666666667,14316.666666666666,28.035000000000004,24.075
Butte,"$179,813.97 ",1477.0,0.0,2984.0,9973.0,299.2078612253084,74.0,41.4418931114008,443.0,7322.0,60.50259491942092,25.0,42.024037148320126,2541,10.4,0.78,0.47,38.0430045942951,54.3150684931507,69.3155080213904,60.5678233438486,59.5951932997512,,59.1445276438609,,44.0354192240321,71.6005349977708,38.4615384615385,38.3866481223922,61.1238008222933,100.0,38.8476454293629,54.5670789724072,51.25,47.4084797438091,16.02,15.62,18.94,18.31,7.224999999999999,101058.33333333333,17.48,16.965
Calaveras,"$3,993.16 ",95.0,0.0,471.0,1673.0,281.5301852958756,18.0,25.70233114166168,52.0,1156.0,44.98269896193772,3.0,25.346020761245672,461,4.3,0.64,0.43,26.8018448271157,,,,41.0320432792343,,47.355623100304,,29.9473101015355,,,,,,,,,,22.89,19.99,29.74,25.87,6.441666666666667,20550.0,26.314999999999998,22.93
Colusa,"$1,066.25 ",31.0,0.0,306.0,1506.0,203.187250996016,11.0,79.15006640106243,110.0,1097.0,100.27347310847765,4.0,80.94804010938925,346,5.8,0.43,0.33,19.1252686133232,35.1851851851852,,,57.0068920249426,,,,42.0829005759607,,,,,,,,,,24.28,26.57,,,15.583333333333334,11052.5,24.28,26.57
Contra Costa,"$860,001.75 ",4938.0,0.0,18271.0,56056.0,325.9419152276295,320.0,67.24168688454401,1785.0,38823.0,45.97789969863225,73.0,68.89472735234268,14167,5.2,0.65,0.52,15.175204745779,27.7036048064085,18.4128274999848,38.690431072755,42.3176333318564,38.2068164213788,26.1459129106188,21.7486338797814,25.0722938360186,17.7000898628866,16.1739130434783,56.6752217569454,49.1027804921382,20.8092485549133,14.3195079640435,23.6825425570445,31.7142857142857,31.310822284632,9.73,9.341,10.5,10.11,5.066666666666667,544625.0,10.115,9.7255
Del Norte,$303.22 ,82.0,0.0,277.0,1346.0,205.79494799405643,10.0,47.17682020802376,20.0,972.0,20.5761316872428,1.0,48.86831275720165,331,10.0,0.75,0.5,42.359596912016,46.6415094339623,55.0102249488753,55.952380952381,64.6551724137931,,59.8149050170482,,47.1459658520254,,,,,,,,,,24.16,22.69,,,8.599999999999998,9856.666666666666,24.16,22.69
El Dorado,"$11,480.59 ",281.0,0.0,2718.0,8201.0,331.422997195464,62.0,33.55688330691379,275.0,5318.0,51.71116961263633,19.0,34.37382474614516,2208,4.0,0.75,0.58,22.332831272549,29.162656400385,8.21683309557775,25.4076086956522,47.234878942196,,26.9654665686995,,25.1170937470553,2.07869339272457,4.20168067226891,35.1282051282051,47.3470987976999,38.7096774193548,24.638344974999,16.6528583264292,75.5905511811024,28.1127642913078,16.85,14.8,17.74,17.37,5.741666666666667,87908.33333333333,17.295,16.085
Fresno,"$610,093.30 ",4894.0,0.0,13564.0,63454.0,213.76114980931075,290.0,81.86087559491918,1061.0,47329.0,22.41754526822878,48.0,82.37232986118448,15407,9.4,0.59,0.29,28.70094140617,62.7221597300337,51.2970748231763,63.843648208469,62.9965606898368,59.82636148382,42.2552990059433,33.5758254057079,50.7317441801059,63.0713606089439,65.3923541247485,79.10966669186,72.1393034825871,73.7410071942446,36.5367784162259,47.6064533192277,17.8082191780822,64.1017072180359,9.481,10.18,10.21,10.78,10.241666666666667,440316.6666666667,9.845500000000001,10.48
Glenn,"$5,855.55 ",115.0,0.0,305.0,1729.0,176.40254482359745,10.0,60.32388663967615,48.0,1308.0,36.697247706422026,3.0,62.46177370030582,509,17.3,0.58,0.49,36.1763715920565,35.6846473029046,77.956204379562,,61.2153381531985,,,,47.3846488682531,,,,,,,,,,,,29.8,28.31,8.783333333333333,12964.166666666666,29.8,28.31
Humboldt,"$72,043.25 ",1048.0,0.0,1797.0,6221.0,288.86031184697,53.0,38.884423726089054,148.0,4551.0,32.52032520325202,6.0,38.69479235332893,1467,9.7,0.76,0.4,39.8698662846227,63.1621975147155,62.5292740046838,59.3650793650794,61.290083685107,,54.9370764762827,,44.6850857268742,54.6268656716418,82.6899879372738,57.243816254417,66.7371537322901,44.1176470588235,40.1486528336946,65.3298835705045,,50.5025508261631,25.96,24.72,22.55,22.5,5.625,62291.666666666664,24.255000000000003,23.61
