county,abortion_rs_fee_for_service,abortion_rs_ffs_suppressed,abortion_rs_managed_care,abortion_rs_mc_suppressed,abortion_rs_total,abortion_rs_total_suppressed
Alameda,1665.0,0.0,2267.0,0.0,3932.0,0.0
Alpine,0.0,0.0,,1.0,,1.0
Amador,,1.0,,1.0,24.0,0.0
Butte,849.0,0.0,628.0,0.0,1477.0,0.0
Calaveras,16.0,0.0,79.0,0.0,95.0,0.0
Colusa,,1.0,,1.0,31.0,0.0
Contra Costa,3800.0,0.0,1138.0,0.0,4938.0,0.0
Del Norte,,1.0,,1.0,82.0,0.0
El Dorado,57.0,0.0,224.0,0.0,281.0,0.0
Fresno,2253.0,0.0,2641.0,0.0,4894.0,0.0
Glenn,22.0,0.0,93.0,0.0,115.0,0.0
Humboldt,292.0,0.0,756.0,0.0,1048.0,0.0
Imperial,82.0,0.0,244.0,0.0,326.0,0.0
Inyo,,1.0,,1.0,23.0,0.0
Kern,1433.0,0.0,2810.0,0.0,4243.0,0.0
Kings,51.0,0.0,183.0,0.0,234.0,0.0
Lake,30.0,0.0,362.0,0.0,392.0,0.0
Lassen,,1.0,,1.0,98.0,0.0
Los Angeles,25946.0,0.0,11871.0,0.0,37817.0,0.0
Madera,166.0,0.0,235.0,0.0,401.0,0.0
Marin,601.0,0.0,335.0,0.0,936.0,0.0
Mariposa,,1.0,,1.0,34.0,0.0
Mendocino,169.0,0.0,506.0,0.0,675.0,0.0
Merced,93.0,0.0,568.0,0.0,661.0,0.0
Modoc,,1.0,,1.0,15.0,0.0
Mono,,1.0,,1.0,11.0,0.0
Monterey,557.0,0.0,605.0,0.0,1162.0,0.0
Napa,185.0,0.0,221.0,0.0,406.0,0.0
Nevada,22.0,0.0,210.0,0.0,232.0,0.0
Orange,4034.0,0.0,2808.0,0.0,6842.0,0.0
Placer,426.0,0.0,363.0,0.0,789.0,0.0
Plumas,,1.0,,1.0,43.0,0.0
Riverside,3013.0,0.0,2649.0,0.0,5662.0,0.0
Sacramento,2975.0,0.0,3269.0,0.0,6244.0,0.0
San Benito,59.0,0.0,53.0,0.0,112.0,0.0
San Bernardino,5119.0,0.0,3879.0,0.0,8998.0,0.0
San Diego,3979.0,0.0,3087.0,0.0,7066.0,0.0
San Francisco,2008.0,0.0,1283.0,0.0,3291.0,0.0
San Joaquin,1074.0,0.0,2931.0,0.0,4005.0,0.0
San Luis Obispo,224.0,0.0,84.0,0.0,308.0,0.0
San Mateo,775.0,0.0,1603.0,0.0,2378.0,0.0
Santa Barbara,537.0,0.0,165.0,0.0,702.0,0.0
Santa Clara,2513.0,0.0,1171.0,0.0,3684.0,0.0
Santa Cruz,503.0,0.0,287.0,0.0,790.0,0.0
Shasta,258.0,0.0,1082.0,0.0,1340.0,0.0
Sierra,,1.0,,1.0,,1.0
Siskiyou,,1.0,,1.0,165.0,0.0
Solano,1129.0,0.0,1513.0,0.0,2642.0,0.0
Sonoma,832.0,0.0,1120.0,0.0,1952.0,0.0
Stanislaus,1324.0,0.0,1212.0,0.0,2536.0,0.0
Sutter,197.0,0.0,272.0,0.0,469.0,0.0
Tehama,39.0,0.0,185.0,0.0,224.0,0.0
Trinity,0.0,0.0,73.0,0.0,73.0,0.0
Tulare,208.0,0.0,377.0,0.0,585.0,0.0
Tuolumne,13.0,0.0,68.0,0.0,81.0,0.0
Ventura,835.0,0.0,1078.0,0.0,1913.0,0.0
Yolo,142.0,0.0,529.0,0.0,671.0,0.0
Yuba,35.0,0.0,217.0,0.0,252.0,0.0
