county,abortion_medicaid_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_chlamydia_supressed,std_gonorrhea_rate,std_gonorrhea_supressed,std_population,std_syphilis_rate,std_syphilis_supressed,sui_adjusted_rate_avg,unemployment_rate,gini_coefficient_2015,gini_suppressed_2015,gini_combined_2015,gini_coefficient_range,gini_suppressed_range,num_of_indiv_A0,num_of_indiv_A1,num_of_indiv_A2,num_of_indiv_A3,num_of_indiv_A4,num_of_indiv_A5,num_of_indiv_A6,num_of_indiv_A7,num_of_indiv_A8,num_of_indiv_A9,num_of_indiv_A10,num_of_indiv_A11,num_of_indiv_A12,num_of_indiv_A13,num_of_indiv_A14,num_of_indiv_A15,num_of_indiv_A16,num_of_indiv_A17,num_of_indiv_A18,num_of_indiv_A19,num_of_indiv_A20,medicaid_sum_0_20
Alameda,400818.06,3932.0,0.0,30404.0,78508.0,387.2726346359608,528.0,78.64166709125186,2252.0,58612.0,38.422166109329154,98.0,78.78762028253601,17303.0,7.7,0.7,0.54,27.4271122936612,9.7,58.0,11.2,0,4.0,497.7,0,172.9,0,1621005,17.1,0,8.665500000000002,4.775,0.463,0,0.0,0.4649,0.0,8589.0,8220.583333,8142.166667,8063.5,8050.916667,8369.166667,8586.25,8797.083333,8515.083333,8100.166667,7785.25,7708.0,7464.083333,7323.0,7334.5,7285.416667,7184.333333,7256.5,7135.416667,5914.083333,5709.666667,161534.166667
Amador,268.49,24.0,0.0,320.0,1202.0,266.22296173044924,14.0,28.785357737104825,24.0,834.0,28.7769784172662,2.0,28.05755395683453,306.0,5.2,0.6,0.3,28.1863267106824,0.0,0.0,0.0,0,,176.9,0,48.2,0,37313,8.0,1,24.075,6.641666666666667,0.4612,0,1.0,,1.0,189.25,159.4166667,156.0833333,159.6666667,145.0833333,147.4166667,152.75,159.75,160.0833333,163.4166667,158.75,142.6666667,147.3333333,143.5833333,135.25,144.0,125.5,143.0,135.5,124.1666667,94.66666667,3087.3333333699998
Butte,179813.97,1477.0,0.0,2984.0,9973.0,299.2078612253084,74.0,41.4418931114008,443.0,7322.0,60.50259491942092,25.0,42.024037148320126,2541.0,10.4,0.78,0.47,44.0354192240321,16.2,7.0,,1,4.5,504.5,0,140.5,0,224180,6.2,0,16.965,7.224999999999999,,1,0.0,0.4868,0.0,1807.333333,1629.333333,1540.083333,1512.833333,1580.166667,1581.583333,1559.75,1594.666667,1598.0,1531.916667,1410.083333,1413.0,1377.583333,1375.083333,1356.083333,1298.583333,1338.75,1350.5,1332.5,1382.166667,1363.083333,30933.083330999994
Calaveras,3993.16,95.0,0.0,471.0,1673.0,281.5301852958756,18.0,25.70233114166168,52.0,1156.0,44.98269896193772,3.0,25.346020761245672,461.0,4.3,0.64,0.43,29.9473101015355,0.0,,,1,,138.1,0,40.1,0,44899,11.1,1,22.93,6.441666666666667,0.4612,0,1.0,,1.0,243.8333333,227.6666667,206.4166667,208.6666667,212.4166667,225.75,228.5,233.8333333,224.9166667,225.5833333,219.25,202.5,209.6666667,188.1666667,199.0,228.0833333,219.75,210.8333333,195.1666667,177.6666667,159.25,4446.9166668
Colusa,1066.25,31.0,0.0,306.0,1506.0,203.187250996016,11.0,79.15006640106243,110.0,1097.0,100.27347310847765,4.0,80.94804010938925,346.0,5.8,0.43,0.33,42.0829005759607,0.0,,,1,,269.4,0,44.9,1,22271,9.0,1,26.57,15.583333333333334,0.4751,0,1.0,,1.0,240.8333333,233.8333333,241.75,233.6666667,237.9166667,247.8333333,275.25,289.1666667,293.25,268.25,248.5,243.8333333,233.75,223.9166667,217.5833333,216.5833333,224.5,229.75,187.6666667,165.25,150.25,4903.3333333
Contra Costa,860001.75,4938.0,0.0,18271.0,56056.0,325.9419152276295,320.0,67.24168688454401,1785.0,38823.0,45.97789969863225,73.0,68.89472735234268,14167.0,5.2,0.65,0.52,25.0722938360186,11.1,40.0,10.6,0,3.4,421.9,0,117.9,0,1117459,12.3,0,9.7255,5.066666666666667,0.4709,0,0.0,0.47,0.0,5875.0,5580.0,5584.833333,5465.083333,5638.833333,5667.916667,5744.25,5967.166667,6005.833333,5606.583333,5542.416667,5420.0,5330.666667,5332.25,5318.083333,5217.416667,5202.333333,5240.5,4894.75,4260.916667,3921.5,112816.333333
Del Norte,303.22,82.0,0.0,277.0,1346.0,205.79494799405643,10.0,47.17682020802376,20.0,972.0,20.5761316872428,1.0,48.86831275720165,331.0,10.0,0.75,0.5,47.1459658520254,0.0,,,1,,347.1,0,125.6,0,27080,0.0,0,22.69,8.599999999999998,0.4663,0,1.0,,1.0,268.0,263.75,241.6666667,235.4166667,244.75,247.1666667,223.5,229.5,261.0,235.8333333,196.25,199.75,194.9166667,186.1666667,195.75,200.6666667,193.6666667,203.5833333,199.4166667,165.6666667,169.5833333,4556.0000002
El Dorado,11480.59,281.0,0.0,2718.0,8201.0,331.422997195464,62.0,33.55688330691379,275.0,5318.0,51.71116961263633,19.0,34.37382474614516,2208.0,4.0,0.75,0.58,25.1170937470553,8.5,7.0,,1,3.1,230.4,0,43.1,0,183147,4.4,1,16.085,5.741666666666667,,1,0.0,0.4588,0.0,831.0,743.1666667,698.0833333,739.3333333,737.8333333,770.4166667,776.5,794.5,809.6666667,792.0,732.25,722.8333333,721.9166667,687.6666667,642.0833333,674.0,642.75,641.5833333,615.3333333,515.9166667,489.5,14778.333333300001
Fresno,610093.3,4894.0,0.0,13564.0,63454.0,213.76114980931075,290.0,81.86087559491918,1061.0,47329.0,22.41754526822878,48.0,82.37232986118448,15407.0,9.4,0.59,0.29,50.7317441801059,29.8,39.0,14.5,0,6.8,604.3,0,178.9,0,979636,38.4,0,10.48,10.241666666666667,0.4711,0,0.0,0.4801,0.0,12820.83333,12211.16667,12037.25,11862.08333,11959.16667,11924.16667,11876.16667,12387.0,12005.91667,11343.0,11040.83333,10570.91667,10283.33333,9874.916667,9874.833333,9662.083333,9560.0,9399.083333,9202.0,7840.583333,7872.083333,225607.41667199996
Glenn,5855.55,115.0,0.0,305.0,1729.0,176.40254482359745,10.0,60.32388663967615,48.0,1308.0,36.697247706422026,3.0,62.46177370030582,509.0,17.3,0.58,0.49,47.3846488682531,0.0,,,1,,314.2,0,86.3,0,28960,0.0,0,28.31,8.783333333333333,0.4751,0,1.0,,1.0,322.6666667,305.8333333,273.3333333,265.75,279.1666667,305.3333333,331.1666667,314.4166667,316.75,310.5,305.0833333,277.75,255.5833333,253.5833333,271.0,258.6666667,275.1666667,272.1666667,243.0833333,178.3333333,170.6666667,5786.0
