,county,abortion_medicaid_expenditures,abortion_rs_count_total,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_gonorrhea_rate,std_population,std_syphilis_rate,sui_adjusted_rate_avg,unemployment_rate,medicaid_sum_0_20,gini_coef,dropout_sqrt,dropout_quar_rt,dropout_3rd_rt,dropout_not_zero,dropout_log
0,Alameda,400818.06,3932.0,30404,78508,387.2726346359608,528,78.64166709125186,2252.0,58612,38.422166109329154,98.0,78.78762028253601,17303,7.7,0.7,27.42711229,9.7,58.0,11.2,0,4.0,497.7,172.9,1621005,17.1,8.665500000000002,4.775,161534.1667,0.463,2.7748873851023217,1.665799323178612,1.9746808222123668,7.7001,2.0412333157882947
1,Amador,268.49,24.0,320,1202,266.22296173044924,14,28.785357737104825,24.0,834,28.77697842,2.0,28.05755395683453,306,5.2,0.6,28.18632671,0.0,0.0,0.0,0,0.0,176.9,48.2,37313,8.0,24.075,6.641666666666667,3087.333333,0.4612,2.280350850198276,1.5100830606950983,1.7324782106818055,5.2001,1.6486778561717037
2,Butte,179813.97,1477.0,2984,9973,299.2078612253084,74,41.44189311,443.0,7322,60.50259491942092,25.0,42.024037148320126,2541,10.4,0.78,44.03541922,16.2,7.0,,1,4.5,504.5,140.5,224180,6.2,16.965,7.224999999999999,30933.08333099999,0.4868,3.224903099,1.7958015200236968,2.1827857661222114,10.4001,2.3418154214857148
3,Calaveras,3993.16,95.0,471,1673,281.5301852958756,18,25.70233114166168,52.0,1156,44.98269896193772,3.0,25.346020761245672,461,4.3,0.64,29.9473101,0.0,,,1,0.0,138.1,40.1,44899,11.1,22.93,6.441666666666667,4446.916667,0.4612,2.073644135332772,1.440015325,1.6261333316791686,4.3001,1.4586382782430578
4,Colusa,1066.25,31.0,306,1506,203.187251,11,79.15006640106243,110.0,1097,100.27347310847765,4.0,80.94804010938925,346,5.8,0.43,42.08290058,0.0,,,1,0.0,269.4,44.9,22271,9.0,26.57,15.583333333333334,4903.333333,0.4751,2.4083189157584592,1.5518759343963224,1.7967017791430526,5.8001,1.757875158783053
5,Contra Costa,860001.75,4938.0,18271,56056,325.9419152276295,320,67.24168688454401,1785.0,38823,45.97789969863225,73.0,68.89472735234268,14167,5.2,0.65,25.07229384,11.1,40.0,10.6,0,3.4,421.9,117.9,1117459,12.3,9.7255,5.066666666666667,112816.3333,0.4709,2.280350850198276,1.5100830606950983,1.7324782106818055,5.2001,1.6486778561717037
6,Del Norte,303.22,82.0,277,1346,205.79494799405643,10,47.17682020802376,20.0,972,20.57613169,1.0,48.86831275720165,331,10.0,0.75,47.14596585,0.0,,,1,0.0,347.1,125.6,27080,0.0,22.69,8.599999999999998,4556.0,0.4663,3.1622776601683795,1.7782794100389228,2.154434690031884,10.0001,2.302595092944046
7,El Dorado,11480.59,281.0,2718,8201,331.4229972,62,33.55688330691379,275.0,5318,51.71116961263633,19.0,34.37382474614516,2208,4.0,0.75,25.11709375,8.5,7.0,,1,3.1,230.4,43.1,183147,4.4,16.085,5.741666666666667,14778.33333,0.4588,2.0,1.4142135623730951,1.5874010519681994,4.0001,1.3863193608073958
8,Fresno,610093.3,4894.0,13564,63454,213.76114980931075,290,81.86087559491918,1061.0,47329,22.41754526822878,48.0,82.37232986118448,15407,9.4,0.59,50.73174418,29.8,39.0,14.5,0,6.8,604.3,178.9,979636,38.4,10.48,10.241666666666667,225607.4167,0.4711,3.0659419433511785,1.7509831362269537,2.110454294,9.4001,2.2407203275172445
9,Glenn,5855.55,115.0,305,1729,176.40254482359745,10,60.32388663967615,48.0,1308,36.697247706422026,3.0,62.46177370030582,509,17.3,0.58,47.38464887,0.0,,,1,0.0,314.2,86.3,28960,0.0,28.31,8.783333333333333,5786.0,0.4751,4.159326868617084,2.0394427838547187,2.5863186669446736,17.3001,2.850712281833848
10,Humboldt,72043.25,1048.0,1797,6221,288.8603118,53,38.884423726089054,148.0,4551,32.52032520325202,6.0,38.69479235332893,1467,9.7,0.76,44.68508573,14.5,10.0,,1,7.3,460.6,177.0,135032,1.5,23.61,5.625,18846.75,0.4682,3.1144823004794877,1.7647895909936366,2.1326712355058866,9.7001,2.2721361947345478
11,Imperial,22656.33,326.0,2659,10981,242.14552408705944,56,92.26846371004464,145.0,8118,17.86154225178616,7.0,92.79379157427938,3127,10.4,0.63,51.89292269,37.8,,,1,3.8,398.2,40.0,185072,9.7,7.899,24.59166666666667,39955.75,0.4621,3.224903099,1.7958015200236968,2.1827857661222114,10.4001,2.3418154214857148
12,Inyo,1660.82,23.0,327,837,390.6810035842294,14,58.78136200716849,,655,,,57.40458015267176,812,48.2,0.69,31.24085126,0.0,0.0,0.0,0,0.0,295.1,21.5,18640,0.0,15.93,5.833333333333333,2305.083333,0.43645,6.942621983083913,2.634885573053204,3.639281748553536,48.200100000000006,3.8753610957432
13,Kern,373915.27,4243.0,10807,57922,186.5785021235455,188,74.90418148544595,578.0,43784,13.201169376941344,31.0,75.41110908094282,14224,8.0,0.62,48.15632159,35.6,22.0,9.3,0,6.1,692.5,174.9,883494,28.6,13.57,10.283333333333331,190417.4167,0.4609,2.8284271247461903,1.681792830507429,2.0,8.0001,2.0794540416017115
14,Kings,12667.67,234.0,1731,10207,169.5894974037425,42,76.18301165866563,65.0,7782,8.352608583911591,4.0,75.93163711128243,2293,7.5,0.66,49.35848486,32.0,6.0,,1,4.7,395.8,112.8,149832,26.7,11.105,10.575,27934.75,0.4391,2.7386127875258306,1.6548754598234363,1.957433820584432,7.5001,2.014916354
