county,gini_coefficient,suppressed
California,0.4889,0
Alameda  ,0.4649,0
Amador  ,,1
Butte  ,0.4868,0
Calaveras  ,,1
Colusa  ,,1
Contra Costa  ,0.47,0
Del Norte  ,,1
El Dorado  ,0.4588,0
Fresno  ,0.4801,0
Glenn  ,,1
Humboldt  ,0.4682,0
Imperial  ,0.4719,0
Inyo  ,0.4117,0
Kern  ,0.462,0
Kings  ,0.4391,0
Lake  ,0.4691,0
Lassen  ,0.4312,0
Los Angeles  ,0.5029,0
Madera  ,0.4503,0
Marin  ,0.5234,0
Mariposa  ,,1
Mendocino  ,,1
Merced  ,0.4653,0
Mono  ,,1
Monterey  ,0.4595,0
Napa  ,0.4734,0
Nevada  ,0.4639,0
Orange  ,0.4701,0
Placer  ,0.4472,0
Plumas  ,,1
Riverside  ,0.4515,0
Sacramento  ,0.4605,0
San Benito  ,0.4007,0
San Bernardino  ,0.4426,0
San Diego  ,0.4666,0
San Francisco  ,0.5148,0
San Joaquin  ,0.455,0
San Luis Obispo  ,0.4518,0
San Mateo  ,0.484,0
Santa Barbara  ,0.4826,0
Santa Clara  ,0.4639,0
Santa Cruz  ,0.4784,0
Shasta  ,0.4634,0
Siskiyou  ,0.4506,0
Solano  ,0.4267,0
Sonoma  ,0.4584,0
Stanislaus  ,0.4493,0
Sutter  ,0.4488,0
Tehama  ,0.4513,0
Trinity  ,,1
Tulare  ,0.4682,0
Tuolumne  ,,1
Ventura  ,0.4478,0
Yolo  ,0.4905,0
Yuba  ,0.4269,0
