county,sui_rate_2015_2017,sui_age_adjusted_rate_2015_2017
Yuba,17.93,18.75
Lake,30.18,28.78
Tuolumne,25.77,18.87
Calaveras,29.74,25.87
Ventura,11.23,10.53
Merced,10.39,11.33
San Mateo,7.714,7.303
Orange,9.681,9.145
Glenn,29.8,28.31
San Luis Obispo,19.24,16.44
Placer,12.86,11.78
Madera,10.69,11.04
San Diego,12.58,12.24
Imperial,8.543,9.0
Tehama,17.67,19.22
Monterey,9.147,8.998
Riverside,11.3,11.07
Kern,13.33,13.96
Napa,10.78,9.519
El Dorado,17.74,17.37
Plumas,20.51,17.53
Marin,15.07,12.52
Santa Barbara,13.31,12.79
Inyo,21.44,15.7
San Francisco,11.82,10.32
San Joaquin,9.971,10.21
Stanislaus,10.09,10.16
Lassen,22.76,22.79
Mendocino,22.49,21.25
Amador,22.37,20.52
Santa Clara,7.52,7.203
Los Angeles,8.175,7.87
Tulare,10.54,11.16
Kings,11.34,12.2
Yolo,12.16,12.47
Nevada,20.64,17.15
San Benito,10.34,11.24
Shasta,25.22,23.37
Alameda,8.996,8.496
Sacramento,13.05,12.73
Siskiyou,24.02,19.91
Fresno,10.21,10.78
Humboldt,22.55,22.5
Solano,11.36,11.05
San Bernardino,10.33,10.73
Contra Costa,10.5,10.11
Mariposa,33.21,33.12
Butte,18.94,18.31
Santa Cruz,16.4,15.74
Sonoma,13.55,12.19
Trinity,39.51,43.87
Sutter,14.25,13.87
