county,sui_rate_avg,sui_adjusted_rate_rate_avg
Alameda,9.1385,8.665500000000002
Amador,28.035000000000004,24.075
Butte,17.48,16.965
Calaveras,26.315,22.93
Colusa,,
Contra Costa,10.115,9.7255
Del Norte,,
El Dorado,17.295,16.085
Fresno,9.8455,10.48
Glenn,,
Humboldt,24.255000000000003,23.61
Imperial,7.587,7.899
Inyo,21.475,15.93
Kern,12.885,13.57
Kings,10.229,11.105
Lake,28.435,26.62
Lassen,23.73,22.505
Los Angeles,7.944000000000001,7.695
Madera,12.67,13.235
Marin,14.63,12.215
Mariposa,31.285,32.72
Mendocino,22.96,22.615
Merced,9.5325,10.4205
Modoc,,
Mono,,
Monterey,9.2215,9.1435
Napa,11.84,10.9645
Nevada,21.37,18.185
Orange,9.9605,9.4995
Placer,12.47,11.275
Plumas,21.21,18.66
Riverside,10.895,10.79
Sacramento,13.29,13.025
San Benito,,
San Bernardino,10.0205,10.435
San Diego,12.715,12.39
San Francisco,9.9415,8.8095
San Joaquin,10.3555,10.685
San Luis Obispo,18.5,16.240000000000002
San Mateo,7.709,7.2010000000000005
Santa Barbara,12.36,11.935
Santa Clara,7.779999999999999,7.470000000000001
Santa Cruz,15.61,15.165
Shasta,24.645,22.655
Sierra,,
Siskiyou,24.695,21.915
Solano,11.575,11.11
Sonoma,13.385000000000002,11.989999999999998
Stanislaus,10.195,10.35
Sutter,15.41,15.02
Tehama,17.72,17.32
Trinity,,
Tulare,10.0585,10.71
Tuolumne,20.78,16.535
Ventura,11.39,10.855
Yolo,10.17,10.4925
Yuba,16.585,17.06
