,dropout_log
dropout_log,1
ecigs_sold_pct_tobacco_stores_2016 gini_coef,0.562193585
ecigs_sold_pct_tobacco_stores_2016,0.542634959
ecigs_sold_pct_tobacco_stores_2016 povr_whole_total_estimate,0.411465287
ecigs_sold_pct_tobacco_stores_2016 std_chlamydia_rate,0.352705733
daycare_slots_child_rate_slots ecigs_sold_pct_tobacco_stores_2016,0.339328624
daycare_slots_infant_pct_nonwhite ecigs_sold_pct_tobacco_stores_2016,0.338055966
daycare_slots_child_pct_nonwhite ecigs_sold_pct_tobacco_stores_2016,0.337484032
std_chlamydia_rate,0.331582061
std_chlamydia_rate sui_adjusted_rate_avg,0.331393935
std_chlamydia_rate gini_coef,0.32410238
ecigs_sold_pct_tobacco_stores_2016^2,0.318403048
daycare_slots_infant_pct_nonwhite sui_adjusted_rate_avg,0.290834723
daycare_slots_child_pct_nonwhite sui_adjusted_rate_avg,0.288916456
povr_whole_total_estimate std_chlamydia_rate,0.281150523
ecigs_sold_pct_tobacco_stores_2016 unemployment_rate,0.278529784
daycare_slots_child_pct_nonwhite gini_coef,0.269589135
daycare_slots_child_pct_nonwhite,0.266136977
daycare_slots_child_pct_nonwhite std_chlamydia_rate,0.260910199
daycare_slots_child_rate_slots std_chlamydia_rate,0.256127471
daycare_slots_infant_pct_nonwhite std_chlamydia_rate,0.255530024
ecigs_sold_pct_tobacco_stores_2016 std_gonorrhea_rate,0.248055189
std_chlamydia_rate^2,0.246042859
daycare_slots_child_rate_slots daycare_slots_child_pct_nonwhite,0.243909564
daycare_slots_child_rate_slots sui_adjusted_rate_avg,0.241144272
ecigs_sold_pct_tobacco_stores_2016 sui_adjusted_rate_avg,0.233063534
daycare_slots_infant_pct_nonwhite gini_coef,0.22703141
daycare_slots_child_pct_nonwhite povr_whole_total_estimate,0.225592057
daycare_slots_infant_pct_nonwhite,0.223821787
std_gonorrhea_rate sui_adjusted_rate_avg,0.216425236
daycare_slots_child_pct_nonwhite^2,0.213745865
