,abortion_medicaid_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_chlamydia_supressed,std_gonorrhea_rate,std_gonorrhea_supressed,std_population,std_syphilis_rate,std_syphilis_supressed,sui_adjusted_rate_avg,unemployment_rate,medicaid_sum_0_20,gini_coef,dropout_sqrt,dropout_quar_rt,dropout_3rd_rt,dropout_not_zero,dropout_log
abortion_medicaid_expenditures,1.0,0.9928585175825574,-0.04719991189964544,0.9594822122373284,0.9681748445651764,0.07816697281717286,0.9664451298113323,0.3097807209139155,0.9099253537305894,0.9702684015587114,-0.06189460599954515,0.9247041456389645,0.3064777276325097,0.9615755015173595,-0.04324848940533818,-0.11357122997437501,0.04057268718466715,-0.016885556287900123,0.09994689869107523,0.9779993627483631,0.1407815017350924,-0.3054514589112763,0.14650451840291026,0.3278497055830997,-0.06735484710012146,0.20549785434416457,-0.14242803262070516,0.9704389567241651,0.23396957514373848,-0.20630635226466748,-0.22358111816427112,-0.12829392165156073,0.9767990013325119,0.21072010583674325,-0.007037011400858216,0.023368140182052164,0.012009189152940265,-0.04324848940533818,0.047174224868357505
abortion_rs_count_total,0.9928585175825574,1.0,,0.9593556705368373,0.975566064706782,0.06796338060133514,0.9686605716363492,0.34230088628788496,0.9181539117352135,0.977330760941311,-0.07663271504021112,0.933879110889578,0.3364061037091155,0.970355937071037,-0.05904875431057395,-0.16484736969651567,0.05482931108523523,-0.011318534150113656,0.12939048249215987,0.9842687137321695,0.16718434559065018,-0.36746456769357644,0.18161689526011002,0.3907567340348239,-0.05847043132089764,0.2587892436312259,-0.16081244912787057,0.9748484345255898,0.2676980242841877,-0.244354174641672,-0.2643393813959882,-0.13362863124802582,0.9839831172531049,0.19400451813316805,-0.02982942173117335,-0.010423043404039687,-0.01717603025615448,-0.059048754310573964,0.010838475893721321
abortion_rs_count_total_suppressed,-0.04719991189964544,,1.0,-0.05918933714032157,-0.06331960186595871,0.0005186237964274547,-0.06461161660872489,-0.250338474244139,,-0.06245813063366478,,,-0.20608212812128504,-0.06473838126389032,-0.15718148284826824,-0.6241675229650082,-0.26382111529481583,-0.09837970768323251,-0.16134333000140014,-0.09521844041602255,-0.27812868825746406,-0.13599594831899842,-0.17656552662902278,-0.2535696789297141,0.7007648882267351,-0.01514089134926646,0.33071891388307395,-0.061860681253148496,-0.09200582386636545,-0.08347838711296822,-0.2515062491119913,0.049187745663217756,-0.05931270888934582,-0.007111867948985244,-0.3624875246637718,-0.6443713757970417,-0.5250643850091116,-0.15718148284826824,-0.9297340261723276
daycare_slots_child_facility_capacity,0.9594822122373284,0.9593556705368373,-0.05918933714032157,1.0,0.9850147626272068,0.17519026107607724,0.9981050903753304,0.3544024733652709,0.9808903360043303,0.9859822303029395,-0.029887610726540767,0.985131516301271,0.3518330980008428,0.9802004703395849,-0.06958976194421418,-0.0859613195555365,0.09527238411718865,-0.10517290254086391,0.08694604744623416,0.9734865762345277,0.13978959243640796,-0.3680273214897786,0.14176848143981716,0.3403445784806891,-0.08388054033455587,0.20568735005089972,-0.17470807302765312,0.9924441562007109,0.25446127330723073,-0.25266087191598313,-0.27017231108508666,-0.19241931405471913,0.963154905655765,0.21064674779298223,-0.033389664063818686,0.005319106933172665,-0.010299187496935421,-0.06958976194421418,0.046239158713404636
daycare_slots_child_total_pop,0.9681748445651764,0.975566064706782,-0.06331960186595871,0.9850147626272068,1.0,0.06959477937828244,0.9850238129180504,0.39038218575092304,0.9619759544796012,0.999816480275834,-0.08891400015332171,0.9709452413896619,0.3877746106580682,0.9986508183873848,-0.08794415543459436,-0.06777173401954592,0.11771638649728772,-0.033520334172812145,0.15028281838804275,0.9825922056867458,0.18314449338309027,-0.39417196443634483,0.1883974583400905,0.36894319009125737,-0.08996116519214425,0.1994547753079863,-0.18681887966149172,0.9975446828349791,0.23621241773113064,-0.2690840447854913,-0.27536593722998204,-0.15275738952882223,0.9918033584309229,0.15398848384302358,-0.04870425842303361,-0.004707737927441643,-0.022719338938370186,-0.08794415543459436,0.04472134119158513
daycare_slots_child_rate_slots,0.07816697281717286,0.06796338060133514,0.0005186237964274547,0.17519026107607724,0.06959477937828244,1.0,0.17291774618304348,-0.22627098971127313,0.21679733347471575,0.07240234948144805,0.42573938556435137,0.19341131830940314,-0.23545578661781383,0.06009272303693399,0.17507695030228312,-0.021451522618756234,-0.09797750159522169,-0.6348042826849432,-0.4423011638775607,0.13042002449746634,-0.17908702936978033,0.05468449404943323,-0.14575814620309402,-0.010470466264334928,0.15480827579293108,0.12348406079388094,0.01624367139127496,0.11261065692000378,0.33075976037081284,-0.10192761358746806,-0.2716820264041163,-0.4895545904316787,0.006634362872280923,0.4937437571257371,0.1242335721155002,0.08357979150099631,0.0997592463518934,0.17507695030228318,0.032096067350664254
daycare_slots_child_num_facility,0.9664451298113323,0.9686605716363492,-0.06461161660872489,0.9981050903753304,0.9850238129180504,0.17291774618304348,1.0,0.36373323531566737,0.9759675048355358,0.9864864781437348,-0.03722705615118685,0.9827075594185843,0.3603855182882334,0.9794996906011482,-0.0651562040404954,-0.0816424516053538,0.093006050193135,-0.09420797619389107,0.1015361201333343,0.9798694077080512,0.16265387095800682,-0.3683481181435344,0.16005244043918107,0.3664634423492879,-0.09068628309172808,0.22793952848351118,-0.18560115376026967,0.9922807764934255,0.2739125860027501,-0.2605761185546963,-0.2744648777414478,-0.19012052775348018,0.9672618627377981,0.2230586112596186,-0.025240715227813768,0.015121303031475448,-0.0008840857470497811,-0.0651562040404954,0.05485658825323588
daycare_slots_child_pct_nonwhite,0.3097807209139155,0.34230088628788496,-0.250338474244139,0.3544024733652709,0.39038218575092304,-0.22627098971127313,0.36373323531566737,1.0,0.35782906408566145,0.3881150126506218,-0.24603766934976834,0.35043468168264696,0.9966355380838184,0.3888691376734914,-0.025142468240857464,-0.0008895626705716606,0.18302577756428656,0.26292227567584175,0.623558333139057,0.42045874495568725,0.8413782063099958,-0.31758903157318213,0.4131367446567381,0.6342385945512228,-0.2983639264008239,0.29199677592735745,-0.3142776775879656,0.3687625176973871,0.34571568707253947,-0.38182381667958404,-0.45258108293112376,0.2580763766574294,0.3843557835098531,-0.0677735113416092,0.09140597882788466,0.19473493410406018,0.15593100064036697,-0.025142468240857464,0.2661369770601062
daycare_slots_infant_facility_capacity,0.9099253537305894,0.9181539117352135,,0.9808903360043303,0.9619759544796012,0.21679733347471575,0.9759675048355358,0.35782906408566145,1.0,0.9614762415989281,0.027844355856066916,0.9963724023740791,0.35252924205493014,0.9590373022880355,-0.07009275523740699,-0.16498481904820114,0.0913000388513559,-0.1761236654096609,0.03109053106407263,0.9466819386461329,0.008534994745716685,-0.47186718770152414,0.11243981177425422,0.35321114846124035,-0.07126349255951411,0.2186913432937604,-0.1606069672337776,0.9687651654230571,0.26490484032520856,-0.29930451885145665,-0.32943232227882724,-0.2444715857518078,0.9238478684984811,0.174349439182241,-0.0560453009516516,-0.04617219183181045,-0.0496408950158491,-0.070092755237407,-0.03496316686703864
daycare_slots_infant_total_pop,0.9702684015587114,0.977330760941311,-0.06245813063366478,0.9859822303029395,0.999816480275834,0.07240234948144805,0.9864864781437348,0.3881150126506218,0.9614762415989281,1.0,-0.08822643003182044,0.9708601851076244,0.38510582856971526,0.9980284275929198,-0.08264430218666241,-0.07297046960845815,0.10981565753227268,-0.030068753643373875,0.14938338427924922,0.9835253066828546,0.17976756503975289,-0.3911093580476813,0.18656595827507555,0.37229942954801015,-0.08874812861734135,0.20535103078528252,-0.18428384562778669,0.9979321269693833,0.24305137679057565,-0.2666308016700305,-0.2729471397067354,-0.15014964016480037,0.9922755083742588,0.15940621438663558,-0.04319429923336257,-0.00034935175877873496,-0.017735260607754714,-0.08264430218666241,0.046266934158216644
