CountyCode,CountyName,CohortStudents,Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate),CHSPE Completer (Count),CHSPE Completer (Rate),Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),SPED Certificate (Count),SPED Certificate (Rate),GED Completer (Count),GED Completer (Rate),Other Transfer (Count),Other Transfer (Rate),Dropout (Count),Dropout (Rate),Still Enrolled (Count),Still Enrolled (Rate)
1,Alameda,17303,15057,87.0,79,0.5,2,0.0,149,0.9,6,0.0,135,0.8,1331,7.7,544,3.1
3,Amador,306,269,87.9,2,0.7,0,0.0,6,2.0,0,0.0,8,2.6,16,5.2,5,1.6
4,Butte,2541,2177,85.7,4,0.2,0,0.0,24,0.9,0,0.0,25,1.0,264,10.4,47,1.8
5,Calaveras,461,418,90.7,2,0.4,0,0.0,11,2.4,0,0.0,8,1.7,20,4.3,2,0.4
6,Colusa,346,310,89.6,0,0.0,0,0.0,9,2.6,1,0.3,2,0.6,20,5.8,4,1.2
7,Contra Costa,14167,12638,89.2,46,0.3,25,0.2,160,1.1,29,0.2,135,1.0,733,5.2,401,2.8
8,Del Norte,331,261,78.9,0,0.0,0,0.0,4,1.2,0,0.0,1,0.3,33,10.0,32,9.7
9,El Dorado,2208,2009,91.0,14,0.6,0,0.0,9,0.4,3,0.1,44,2.0,89,4.0,40,1.8
10,Fresno,15407,12591,81.7,27,0.2,43,0.3,229,1.5,0,0.0,334,2.2,1452,9.4,731,4.7
11,Glenn,509,392,77.0,0,0.0,0,0.0,1,0.2,3,0.6,1,0.2,88,17.3,24,4.7
12,Humboldt,1467,1264,86.2,3,0.2,0,0.0,4,0.3,0,0.0,7,0.5,143,9.7,46,3.1
13,Imperial,3127,2687,85.9,1,0.0,4,0.1,3,0.1,1,0.0,68,2.2,326,10.4,37,1.2
14,Inyo,812,333,41.0,0,0.0,0,0.0,1,0.1,0,0.0,1,0.1,391,48.2,86,10.6
15,Kern,14224,12366,86.9,12,0.1,4,0.0,125,0.9,1,0.0,36,0.3,1142,8.0,538,3.8
16,Kings,2293,1830,79.8,3,0.1,0,0.0,15,0.7,0,0.0,40,1.7,172,7.5,233,10.2
17,Lake,750,574,76.5,3,0.4,1,0.1,6,0.8,0,0.0,52,6.9,88,11.7,26,3.5
18,Lassen,298,256,85.9,0,0.0,1,0.3,5,1.7,0,0.0,18,6.0,17,5.7,1,0.3
19,Los Angeles,120444,98583,81.8,318,0.3,10,0.0,992,0.8,27,0.0,1352,1.1,12810,10.6,6352,5.3
20,Madera,2239,1871,83.6,4,0.2,8,0.4,16,0.7,0,0.0,26,1.2,285,12.7,29,1.3
21,Marin,2645,2351,88.9,22,0.8,0,0.0,12,0.5,4,0.2,63,2.4,141,5.3,52,2.0
22,Mariposa,160,151,94.4,2,1.3,0,0.0,1,0.6,0,0.0,3,1.9,2,1.3,1,0.6
23,Mendocino,1018,834,81.9,6,0.6,0,0.0,12,1.2,2,0.2,35,3.4,117,11.5,12,1.2
24,Merced,4554,4152,91.2,5,0.1,1,0.0,20,0.4,0,0.0,34,0.7,328,7.2,14,0.3
25,Modoc,92,86,93.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,5.4,1,1.1
26,Mono,310,142,45.8,0,0.0,0,0.0,0,0.0,1,0.3,2,0.6,97,31.3,68,21.9
27,Monterey,5651,4720,83.5,4,0.1,0,0.0,54,1.0,39,0.7,89,1.6,650,11.5,95,1.7
28,Napa,1689,1483,87.8,9,0.5,0,0.0,13,0.8,0,0.0,45,2.7,131,7.8,8,0.5
29,Nevada,1959,901,46.0,5,0.3,0,0.0,1,0.1,1,0.1,9,0.5,943,48.1,99,5.1
30,Orange,40929,36700,89.7,218,0.5,12,0.0,423,1.0,37,0.1,388,0.9,2100,5.1,1051,2.6
31,Placer,5947,5345,89.9,21,0.4,0,0.0,51,0.9,8,0.1,24,0.4,373,6.3,125,2.1
32,Plumas,171,141,82.5,2,1.2,0,0.0,1,0.6,1,0.6,0,0.0,26,15.2,0,0.0
33,Riverside,33422,30101,90.1,81,0.2,106,0.3,252,0.8,13,0.0,454,1.4,1548,4.6,867,2.6
34,Sacramento,18859,15472,82.0,65,0.3,13,0.1,156,0.8,17,0.1,104,0.6,1649,8.7,1383,7.3
35,San Benito,866,773,89.3,1,0.1,0,0.0,6,0.7,0,0.0,24,2.8,49,5.7,13,1.5
36,San Bernardino,31841,26932,84.6,53,0.2,15,0.0,126,0.4,32,0.1,292,0.9,3023,9.5,1368,4.3
37,San Diego,40773,33377,81.9,119,0.3,80,0.2,464,1.1,156,0.4,415,1.0,3373,8.3,2789,6.8
38,San Francisco,5983,3835,64.1,8,0.1,0,0.0,26,0.4,32,0.5,32,0.5,1878,31.4,172,2.9
39,San Joaquin,12031,10066,83.7,18,0.1,0,0.0,142,1.2,4,0.0,112,0.9,1100,9.1,589,4.9
40,San Luis Obispo,2926,2662,91.0,24,0.8,0,0.0,23,0.8,5,0.2,30,1.0,127,4.3,55,1.9
41,San Mateo,7133,6270,87.9,28,0.4,1,0.0,59,0.8,3,0.0,199,2.8,485,6.8,88,1.2
42,Santa Barbara,5221,4530,86.8,10,0.2,0,0.0,17,0.3,2,0.0,36,0.7,493,9.4,133,2.5
43,Santa Clara,21276,18278,85.9,66,0.3,25,0.1,101,0.5,7,0.0,146,0.7,1925,9.0,728,3.4
44,Santa Cruz,3235,2736,84.6,13,0.4,0,0.0,47,1.5,3,0.1,20,0.6,399,12.3,17,0.5
45,Shasta,2211,1930,87.3,2,0.1,13,0.6,15,0.7,0,0.0,44,2.0,193,8.7,14,0.6
46,Sierra,23,23,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
47,Siskiyou,470,408,86.8,1,0.2,0,0.0,3,0.6,0,0.0,19,4.0,32,6.8,7,1.5
48,Solano,4880,4145,84.9,11,0.2,1,0.0,50,1.0,6,0.1,28,0.6,602,12.3,37,0.8
49,Sonoma,5363,4391,81.9,37,0.7,0,0.0,68,1.3,5,0.1,47,0.9,635,11.8,180,3.4
50,Stanislaus,8504,7135,83.9,6,0.1,72,0.8,69,0.8,2,0.0,50,0.6,812,9.5,358,4.2
51,Sutter,1873,1564,83.5,9,0.5,3,0.2,22,1.2,0,0.0,28,1.5,188,10.0,59,3.2
52,Tehama,705,607,86.1,2,0.3,7,1.0,16,2.3,0,0.0,31,4.4,33,4.7,9,1.3
53,Trinity,145,112,77.2,0,0.0,0,0.0,1,0.7,0,0.0,2,1.4,22,15.2,8,5.5
54,Tulare,7540,6600,87.5,3,0.0,1,0.0,4,0.1,2,0.0,201,2.7,561,7.4,168,2.2
55,Tuolumne,521,457,87.7,0,0.0,3,0.6,2,0.4,1,0.2,16,3.1,39,7.5,3,0.6
56,Ventura,10829,9351,86.4,35,0.3,4,0.0,91,0.8,20,0.2,89,0.8,653,6.0,586,5.4
57,Yolo,2342,2086,89.1,11,0.5,0,0.0,32,1.4,2,0.1,40,1.7,156,6.7,15,0.6
58,Yuba,987,763,77.3,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,168,17.0,54,5.5
