county,gini_coefficient,suppressed
Alameda  ,0.5,0
Amador  ,NA,1
Butte  ,0.5,0
Calaveras  ,NA,1
Colusa  ,NA,1
Contra Costa  ,0.5,0
Del Norte  ,NA,1
El Dorado  ,0.5,0
Fresno  ,0.5,0
Glenn  ,NA,1
Humboldt  ,0.5,0
Imperial  ,0.5,0
Inyo  ,0.4,0
Kern  ,0.5,0
Kings  ,0.4,0
Lake  ,0.5,0
Lassen  ,0.4,0
Los Angeles  ,0.5,0
Madera  ,0.5,0
Marin  ,0.5,0
Mariposa  ,NA,1
Mendocino  ,NA,1
Merced  ,0.5,0
Mono  ,NA,1
Monterey  ,0.5,0
Napa  ,0.5,0
Nevada  ,0.5,0
Orange  ,0.5,0
Placer  ,0.4,0
Plumas  ,NA,1
Riverside  ,0.5,0
Sacramento  ,0.5,0
San Benito  ,0.4,0
San Bernardino  ,0.4,0
San Diego  ,0.5,0
San Francisco  ,0.5,0
San Joaquin  ,0.5,0
San Luis Obispo  ,0.5,0
San Mateo  ,0.5,0
Santa Barbara  ,0.5,0
Santa Clara  ,0.5,0
Santa Cruz  ,0.5,0
Shasta  ,0.5,0
Siskiyou  ,0.5,0
Solano  ,0.4,0
Sonoma  ,0.5,0
Stanislaus  ,0.4,0
Sutter  ,0.4,0
Tehama  ,0.5,0
Trinity  ,NA,1
Tulare  ,0.5,0
Tuolumne  ,NA,1
Ventura  ,0.4,0
Yolo  ,0.5,0
Yuba  ,0.4,0
