Reporting Period,County,Age,Number of Eligible Individuals
2015-01,Alameda,0,8733
2015-01,Alameda,1,8371
2015-01,Alameda,2,8212
2015-01,Alameda,3,8076
2015-01,Alameda,4,8079
2015-01,Alameda,5,8669
2015-01,Alameda,6,8746
2015-01,Alameda,7,8873
2015-01,Alameda,8,8245
2015-01,Alameda,9,8104
2015-01,Alameda,10,7683
2015-01,Alameda,11,7662
2015-01,Alameda,12,7399
2015-01,Alameda,13,7243
2015-01,Alameda,14,7478
2015-01,Alameda,15,7079
2015-01,Alameda,16,7168
2015-01,Alameda,17,7339
2015-01,Alameda,18,7101
2015-01,Alameda,19,5701
2015-01,Alameda,20,5456
2015-01,Alpine,0,14
2015-01,Alpine,1,
2015-01,Alpine,2,
2015-01,Alpine,3,
2015-01,Alpine,4,
2015-01,Alpine,5,
2015-01,Alpine,6,
2015-01,Alpine,7,
2015-01,Alpine,8,
2015-01,Alpine,9,
2015-01,Alpine,10,13
2015-01,Alpine,11,
2015-01,Alpine,12,
2015-01,Alpine,13,
2015-01,Alpine,14,
2015-01,Alpine,15,
2015-01,Alpine,16,
2015-01,Alpine,17,
2015-01,Alpine,18,
2015-01,Alpine,19,11
2015-01,Alpine,20,
2015-01,Amador,0,184
2015-01,Amador,1,138
2015-01,Amador,2,176
2015-01,Amador,3,146
2015-01,Amador,4,144
2015-01,Amador,5,143
2015-01,Amador,6,151
2015-01,Amador,7,162
2015-01,Amador,8,149
2015-01,Amador,9,153
2015-01,Amador,10,164
2015-01,Amador,11,151
2015-01,Amador,12,141
2015-01,Amador,13,131
2015-01,Amador,14,137
2015-01,Amador,15,127
2015-01,Amador,16,127
2015-01,Amador,17,127
2015-01,Amador,18,151
2015-01,Amador,19,117
2015-01,Amador,20,89
2015-01,Butte,0,1795
2015-01,Butte,1,1545
2015-01,Butte,2,1530
2015-01,Butte,3,1487
2015-01,Butte,4,1591
2015-01,Butte,5,1526
2015-01,Butte,6,1563
2015-01,Butte,7,1544
2015-01,Butte,8,1590
2015-01,Butte,9,1410
2015-01,Butte,10,1392
2015-01,Butte,11,1395
2015-01,Butte,12,1323
2015-01,Butte,13,1389
2015-01,Butte,14,1287
2015-01,Butte,15,1276
2015-01,Butte,16,1333
2015-01,Butte,17,1267
2015-01,Butte,18,1371
2015-01,Butte,19,1394
2015-01,Butte,20,1247
2015-01,Calaveras,0,249
2015-01,Calaveras,1,202
2015-01,Calaveras,2,204
2015-01,Calaveras,3,210
2015-01,Calaveras,4,209
2015-01,Calaveras,5,209
2015-01,Calaveras,6,234
2015-01,Calaveras,7,226
2015-01,Calaveras,8,222
2015-01,Calaveras,9,241
2015-01,Calaveras,10,210
2015-01,Calaveras,11,193
2015-01,Calaveras,12,209
2015-01,Calaveras,13,189
2015-01,Calaveras,14,213
2015-01,Calaveras,15,228
2015-01,Calaveras,16,221
2015-01,Calaveras,17,198
2015-01,Calaveras,18,206
2015-01,Calaveras,19,161
2015-01,Calaveras,20,141
2015-01,Colusa,0,237
2015-01,Colusa,1,245
2015-01,Colusa,2,246
2015-01,Colusa,3,219
2015-01,Colusa,4,241
2015-01,Colusa,5,258
2015-01,Colusa,6,264
2015-01,Colusa,7,302
2015-01,Colusa,8,285
2015-01,Colusa,9,258
2015-01,Colusa,10,260
2015-01,Colusa,11,226
2015-01,Colusa,12,231
2015-01,Colusa,13,218
2015-01,Colusa,14,217
2015-01,Colusa,15,217
2015-01,Colusa,16,238
2015-01,Colusa,17,214
2015-01,Colusa,18,179
2015-01,Colusa,19,156
2015-01,Colusa,20,136
2015-01,Contra Costa,0,5878
2015-01,Contra Costa,1,5553
2015-01,Contra Costa,2,5575
2015-01,Contra Costa,3,5443
2015-01,Contra Costa,4,5604
2015-01,Contra Costa,5,5719
2015-01,Contra Costa,6,5861
2015-01,Contra Costa,7,6051
2015-01,Contra Costa,8,5843
2015-01,Contra Costa,9,5506
2015-01,Contra Costa,10,5494
