county,ecigs_sold_pct_tobacco_stores_2016,ecigs_lower95ci_2016,ecigs_upper95ci_2016,ecigs_sold_pct_tobacco_stores_2013,ecigs_lower95ci_2013,ecigs_upper95ci_2013
Alameda,0.7,0.61,0.8,0.54,0.5,0.59
Amador,0.6,,,0.3,0.17,0.44
Butte,0.78,0.7,0.86,0.47,0.28,0.66
Calaveras,0.64,,,0.43,,
Colusa,0.43,,,0.33,,
Contra Costa,0.65,0.54,0.76,0.52,0.41,0.63
Del Norte,0.75,,,0.5,,
El Dorado,0.75,,,0.58,0.48,0.69
Fresno,0.59,0.45,0.73,0.29,0.18,0.4
Glenn,0.58,,,0.49,,
Humboldt,0.76,0.63,0.88,0.4,0.22,0.59
Imperial,0.63,,,0.53,0.46,0.6
Inyo,0.69,,,0.2,,
Kern,0.62,0.45,0.79,0.42,0.29,0.55
Kings,0.66,,,0.22,,
Lake,0.62,,,0.47,,
Lassen,0.81,,,0.48,,
Los Angeles,0.48,0.36,0.6,0.36,0.27,0.44
Madera,0.69,0.58,0.81,0.32,0.19,0.45
Marin,0.6,,,0.46,0.35,0.57
Mariposa,0.42,,,0.29,,
Mendocino,0.63,0.45,0.81,0.44,0.3,0.59
Merced,0.54,0.35,0.72,0.4,0.25,0.55
Modoc,0.64,,,0.09,,
Mono,0.41,,,0.21,,
Monterey,0.52,0.23,0.81,0.31,0.06,0.55
Napa,0.67,0.43,0.91,0.55,0.26,0.85
Nevada,0.72,,,0.49,,
Orange,0.69,0.59,0.8,0.57,0.48,0.67
Placer,0.88,0.83,0.93,0.55,0.49,0.61
Plumas,0.57,,,0.39,,
Riverside,0.7,0.61,0.78,0.6,0.51,0.69
Sacramento,0.79,0.69,0.88,0.62,0.52,0.73
San Benito,0.6,,,0.49,,
San Bernardino,0.65,0.53,0.76,0.5,0.32,0.68
San Diego,0.71,0.67,0.74,0.54,0.45,0.64
San Francisco,0.38,0.03,0.73,0.24,0.1,0.39
San Joaquin,0.69,0.5,0.87,0.46,0.14,0.78
San Luis Obispo,0.89,0.77,1.0,0.69,0.53,0.85
San Mateo,0.54,,,0.31,,
Santa Barbara,0.74,0.65,0.84,0.44,0.38,0.5
Santa Clara,0.59,0.51,0.68,0.47,0.32,0.62
Santa Cruz,0.57,0.38,0.76,0.34,0.15,0.53
Shasta,0.75,,,0.41,,
Sierra,0.0,,,0.17,,
Siskiyou,0.66,0.49,0.82,0.43,0.29,0.57
Solano,0.76,0.44,1.0,0.6,0.38,0.81
Sonoma,0.72,0.67,0.77,0.61,0.5,0.71
Stanislaus,0.69,0.6,0.78,0.58,0.5,0.67
Sutter,0.71,0.58,0.85,0.59,0.55,0.64
Tehama,0.72,,,0.5,0.37,0.63
Trinity,0.48,,,0.1,,
Tulare,0.64,0.48,0.8,0.44,0.28,0.59
Tuolumne,0.73,,,0.4,,
Ventura,0.69,0.61,0.78,0.51,0.36,0.67
Yolo,0.74,0.62,0.85,0.46,0.31,0.61
Yuba,0.72,0.39,1.0,0.49,0.19,0.78
