county,povr_whole_white_numerator,povr_whole_white_denominator,povr_whole_white_estimate,povr_whole_white_ll_95ci,povr_whole_white_ul_95ci,povr_whole_white_se,povr_whole_white_rse,povr_whole_white_ca_rr,povr_whole_cont_native_numerator,povr_whole_cont_native_denominator,povr_whole_cont_native_estimate,povr_whole_cont_native_ll_95ci,povr_whole_cont_native_ul_95ci,povr_whole_cont_native_se,povr_whole_cont_native_rse,povr_whole_cont_native_ca_rr,povr_whole_asian_numerator,povr_whole_asian_denominator,povr_whole_asian_estimate,povr_whole_asian_ll_95ci,povr_whole_asian_ul_95ci,povr_whole_asian_se,povr_whole_asian_rse,povr_whole_asian_ca_rr,povr_whole_black_numerator,povr_whole_black_denominator,povr_whole_black_estimate,povr_whole_black_ll_95ci,povr_whole_black_ul_95ci,povr_whole_black_se,povr_whole_black_rse,povr_whole_black_ca_rr,povr_whole_latine_numerator,povr_whole_latine_denominator,povr_whole_latine_estimate,povr_whole_latine_ll_95ci,povr_whole_latine_ul_95ci,povr_whole_latine_se,povr_whole_latine_rse,povr_whole_latine_ca_rr,povr_whole_island_native_numerator,povr_whole_island_native_denominator,povr_whole_island_native_estimate,povr_whole_island_native_ll_95ci,povr_whole_island_native_ul_95ci,povr_whole_island_native_se,povr_whole_island_native_rse,povr_whole_island_native_ca_rr,povr_whole_multiracial_numerator,povr_whole_multiracial_denominator,povr_whole_multiracial_estimate,povr_whole_multiracial_ll_95ci,povr_whole_multiracial_ul_95ci,povr_whole_multiracial_se,povr_whole_multiracial_rse,povr_whole_multiracial_ca_rr,povr_whole_other_race_numerator,povr_whole_other_race_denominator,povr_whole_other_race_estimate,povr_whole_other_race_ll_95ci,povr_whole_other_race_ul_95ci,povr_whole_other_race_se,povr_whole_other_race_rse,povr_whole_other_race_ca_rr,povr_whole_total_numerator,povr_whole_total_denominator,povr_whole_total_estimate,povr_whole_total_ll_95ci,povr_whole_total_ul_95ci,povr_whole_total_se,povr_whole_total_rse,povr_whole_total_ca_rr,povr_geotypevalue,county_fips,povr_region_code,povr_kids_asian_numerator,povr_kids_asian_denominator,povr_kids_asian_estimate,povr_kids_asian_ll_95ci,povr_kids_asian_ul_95ci,povr_kids_asian_se,povr_kids_asian_rse,povr_kids_asian_ca_rr,povr_kids_cont_native_numerator,povr_kids_cont_native_denominator,povr_kids_cont_native_estimate,povr_kids_cont_native_ll_95ci,povr_kids_cont_native_ul_95ci,povr_kids_cont_native_se,povr_kids_cont_native_rse,povr_kids_cont_native_ca_rr,povr_kids_black_numerator,povr_kids_black_denominator,povr_kids_black_estimate,povr_kids_black_ll_95ci,povr_kids_black_ul_95ci,povr_kids_black_se,povr_kids_black_rse,povr_kids_black_ca_rr,povr_kids_latine_numerator,povr_kids_latine_denominator,povr_kids_latine_estimate,povr_kids_latine_ll_95ci,povr_kids_latine_ul_95ci,povr_kids_latine_se,povr_kids_latine_rse,povr_kids_latine_ca_rr,povr_kids_island_native_numerator,povr_kids_island_native_denominator,povr_kids_island_native_estimate,povr_kids_island_native_ll_95ci,povr_kids_island_native_ul_95ci,povr_kids_island_native_se,povr_kids_island_native_rse,povr_kids_island_native_ca_rr,povr_kids_white_numerator,povr_kids_white_denominator,povr_kids_white_estimate,povr_kids_white_ll_95ci,povr_kids_white_ul_95ci,povr_kids_white_se,povr_kids_white_rse,povr_kids_white_ca_rr,povr_kids_multiracial_numerator,povr_kids_multiracial_denominator,povr_kids_multiracial_estimate,povr_kids_multiracial_ll_95ci,povr_kids_multiracial_ul_95ci,povr_kids_multiracial_se,povr_kids_multiracial_rse,povr_kids_multiracial_ca_rr,povr_kids_other_race_numerator,povr_kids_other_race_denominator,povr_kids_other_race_estimate,povr_kids_other_race_ll_95ci,povr_kids_other_race_ul_95ci,povr_kids_other_race_se,povr_kids_other_race_rse,povr_kids_other_race_ca_rr,povr_kids_total_numerator,povr_kids_total_denominator,povr_kids_total_estimate,povr_kids_total_ll_95ci,povr_kids_total_ul_95ci,povr_kids_total_se,povr_kids_total_rse,povr_kids_total_ca_rr
Alameda,88419,513302,17.225531948054,16.5374433705421,17.9136205255659,0.351065600771375,2.0380537554954,0.75204754403976,1807.0,4713.0,38.3407596011033,31.6179441396984,45.0635750625082,3.43000788847187,8.9461135464128,0.866384572524559,91866.0,429678.0,21.380196333068,20.376427490788,22.383965175348,0.512126960346937,2.39533329053133,0.801411663849901,76178.0,175598.0,43.3820430756614,41.2230970541952,45.5409890971276,1.10150307217661,2.53907606484902,0.977716384855111,147141.0,351583.0,41.8509996217109,40.0206966357467,43.6813026076751,0.933828054063385,2.23131600799075,0.80481611392728,3962.0,13061.0,30.3345838756604,24.2712671029022,36.3979006484186,3.09352896569294,10.198026708964,0.762316164081521,16588.0,65005.0,25.5180370740712,23.2019593129854,27.834114835157,1.1816723270846,4.63073364010939,0.864775297318225,1103.0,4147.0,26.5975403906438,18.5453439132066,34.649736868081,4.10826350889651,15.4460278979092,0.747555361223607,427064,1557087,27.4271122936612,26.8283539906084,28.025870596714,0.305488930128959,1.11382097706131,0.759021530821706,6001.0,6001.0,1.0,16668.0,88590.0,18.8147646461226,16.7846558279707,20.8448734642745,1.03576980517953,5.50509041521804,0.670888105455254,218.0,549.0,39.7085610200364,22.1625577570421,57.2545642830307,8.95204248111955,22.5443638630029,0.739781369773404,21292.0,36373.0,58.5379264839304,54.4706128792874,62.6052400885734,2.07516000236886,3.54498378574876,1.00415516354083,55298.0,110315.0,50.12736255269,47.8552145360577,52.3995105693224,1.15925919215936,2.31262754137691,0.817479185166139,1114.0,3030.0,36.7656765676568,25.8381222109515,47.693230924362,5.57528283505369,15.1643689319683,0.698469018193444,10528.0,76048.0,13.8438880706922,11.6636767344183,16.0240994069661,1.1123527225887,8.03497338976308,0.557192438292517,6284.0,28110.0,22.3550337958022,18.741596641193,25.9684709504114,1.8435903850047,8.24686914743509,0.792991050891103,257.0,1252.0,20.5271565495208,4.5793545262182,36.4749585728233,8.13663368535845,39.6383866695283,0.543738077094377,111659.0,344267.0,32.4338376899325,31.3147203720672,33.5529550077978,0.570978223400663,1.76043991111756,0.701774583341092
Amador,7404,27848,26.5871875897731,22.2205830981242,30.953792081422,2.22785943451476,8.37944753273459,1.1607670050545,265.0,583.0,45.4545454545455,13.2159091930983,77.6931817159927,16.4482838068608,36.1862243750937,1.02713449975053,109.0,404.0,26.980198019802,0.277202718719593,53.6831933208844,13.6239771944298,50.4962090509141,1.01132118008696,8.0,31.0,25.8064516129032,0.0,100.0,69.5932748802849,269.673940161104,0.581609089569634,1343.0,3349.0,40.1015228426396,26.6396873023006,53.5633583829786,6.86828343894849,17.1272384490234,0.771172781259839,,,,,,,,,135.0,627.0,21.5311004784689,3.68538953527234,39.3768114216655,9.10495456285539,42.2874556363728,0.729662856269451,,,,,,,,,9264,32867,28.1863267106824,24.0889161871625,32.2837372342023,2.09051557322444,7.4167719500397,0.780032130948301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,61110,160634,38.0430045942951,36.2041097477523,39.8818994408379,0.938211656399367,2.46618705963109,1.66091521929836,793.0,1460.0,54.3150684931507,41.1260292167209,67.5041077695805,6.72910167164786,12.3890144269935,1.22735537552382,6481.0,9350.0,69.3155080213904,56.2879759561284,82.3430400866524,6.64670003329694,9.58905189188804,2.59821078107248,1728.0,2853.0,60.5678233438486,46.1196924562299,75.0159542314673,7.37149535082588,12.1706459698531,1.36503836794892,19639.0,32954.0,59.5951932997512,53.8555001851361,65.3348864143663,2.92841485439547,4.91384404051878,1.14604602790346,,,,,,,,,5766.0,9749.0,59.1445276438609,52.5754428854165,65.7136124023052,3.35157385634916,5.6667522590267,2.0043362398723,,,,,,,,,95781,217509,44.0354192240321,42.1436095325067,45.9272289155575,0.965209026288468,2.191892443167,1.21864201203293,6007.0,6007.0,2.0,1606.0,2243.0,71.6005349977708,60.9570371443723,82.2440328511693,5.43035604765229,7.5842394862292,2.55309849353532,85.0,221.0,38.4615384615385,13.2027410398366,63.7203358832404,12.8871415416846,33.5065680083801,0.716548997892729,276.0,719.0,38.3866481223922,10.6909358584001,66.0823603863844,14.1304654408123,36.8108864200872,0.658481658616768,6690.0,10945.0,61.1238008222933,54.4152897366314,67.8323119079552,3.42270973758259,5.59963498921396,0.996809573572592,104.0,104.0,100.0,,,,,1.89978557013118,10518.0,27075.0,38.8476454293629,34.4291342620378,43.2661565966879,2.25434243230869,5.80303492629377,1.5635502228983,2294.0,4204.0,54.5670789724072,44.656444024754,64.4777139200605,5.0564464018639,9.26647806165468,1.93563587036547,41.0,80.0,51.25,0.0,100.0,39.2865012140717,76.6565877347741,1.35754683722804,21614.0,45591.0,47.4084797438091,43.9615942001438,50.8553652874743,1.7586150732986,3.70949476296642,1.02578259276956
Calaveras,9821,36643,26.8018448271157,23.0153638823477,30.5883257718837,1.93187803304491,7.20800394714027,1.17013870101377,,,,,,,,,,,,,,,,,,,,,,,,,1972.0,4806.0,41.0320432792343,25.7622802837633,56.3018062747053,7.79069540585256,18.986857059091,0.78906716487025,,,,,,,,,779.0,1645.0,47.355623100304,29.3181577059872,65.3930884946208,9.20278846648815,19.4333594703119,1.60482457672524,,,,,,,,,13243,44221,29.9473101015355,26.1011722776726,33.7934479253984,1.96231521625657,6.5525591767788,0.82876581806657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,1513,7911,19.1252686133232,14.4995289269093,23.7510082997371,2.3600712685785,12.3400686092033,0.834987931468515,76.0,216.0,35.1851851851852,10.5957930073327,59.7745773630377,12.5456082540064,35.6559392482287,0.795078186843928,,,,,,,,,,,,,,,,,6948.0,12188.0,57.0068920249426,47.4875570142438,66.5262270356414,4.85680357688716,8.51967789221368,1.09627167143662,,,,,,,,,,,,,,,,,,,,,,,,,8914,21182,42.0829005759607,36.20077466941,47.9650264825114,3.00108464619933,7.13136358265585,1.16460775289003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,75822,499644,15.175204745779,14.4434647099084,15.9069447816496,0.373336752995222,2.46017605198418,0.662532541449491,830.0,2996.0,27.7036048064085,20.1784253206088,35.2287842922082,3.8393772886733,13.8587642853798,0.626017221810568,30339.0,164771.0,18.4128274999848,16.8481114899901,19.9775435099795,0.798324494895239,4.33569746360736,0.690183312307616,35731.0,92351.0,38.690431072755,35.5651162742515,41.8157458712585,1.5945483665834,4.12129904571223,0.871979872662167,114608.0,270828.0,42.3176333318564,40.1165753094949,44.5186913542179,1.12298878691913,2.65371359053237,0.813789718682755,1973.0,5164.0,38.2068164213788,24.2890950637384,52.1245377790192,7.10087824369407,18.5853701218632,0.960147462562753,12321.0,47124.0,26.1459129106188,22.754959543964,29.5368662772736,1.73007824829326,6.61701220457524,0.886053247172021,796.0,3660.0,21.7486338797814,14.8733601935482,28.6239075660146,3.50779269705776,16.1287955668736,0.611271103167086,272420,1086538,25.0722938360186,24.3272614532047,25.8173262188325,0.380118562660151,1.51609009190087,0.69385397357434,6013.0,6013.0,1.0,6106.0,34497.0,17.7000898628866,14.5502756189776,20.8499041067956,1.60704808362705,9.07932160839869,0.63114155174654,93.0,575.0,16.1739130434783,0.0,32.5654187287076,8.36301310470884,51.7068014538449,0.301324430766021,12587.0,22209.0,56.6752217569454,50.1316590204934,63.2187844933973,3.33855241655712,5.89067376017455,0.972202467534976,44220.0,90056.0,49.1027804921382,46.1648792302952,52.0406817539812,1.49892921522602,3.05263612407043,0.800770256841507,216.0,1038.0,20.8092485549133,2.89669433227826,38.7218027775483,9.13905827685461,43.9182522748846,0.395331101298974,12712.0,88774.0,14.3195079640435,12.4832780070759,16.1557379210112,0.936852018861049,6.54248750175982,0.576335312514239,5231.0,22088.0,23.6825425570445,18.7607911492281,28.604293964861,2.51109765704919,10.6031590611551,0.840081230993733,333.0,1050.0,31.7142857142857,11.456490074535,51.9720813540364,10.335610020281,32.5897613252102,0.840070795441464,81498.0,260287.0,31.310822284632,29.7392889089264,32.8823556603375,0.801802742706914,2.56078468785681,0.677475773077727
Del Norte,7188,16969,42.359596912016,35.299311006526,49.419882817506,3.6021866864745,8.50382663923008,1.84937283331878,618.0,1325.0,46.6415094339623,33.0711277628679,60.2118911050567,6.9236641179053,14.8444254955089,1.05395627612137,269.0,489.0,55.0102249488753,22.1426368457454,87.8778130520052,16.7691776036377,30.4837466475049,2.0619939694777,47.0,84.0,55.952380952381,0.0,100.0,36.6184811075067,65.4457960219268,1.2610185171175,1875.0,2900.0,64.6551724137931,47.5050053121817,81.8053395154045,8.7500852559242,13.5334651958294,1.24335201256156,,,,,,,,,1228.0,2053.0,59.8149050170482,40.5125971440425,79.1172128900539,9.84811626173761,16.464318147677,2.02705451520557,,,,,,,,,11266,23896,47.1459658520254,41.0594424038879,53.2324893001629,3.10536910619258,6.58671224583508,1.30472369055573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,31879,142745,22.332831272549,20.5648548323674,24.1008077127306,0.902028796011001,4.03902570615735,0.975026545515318,303.0,1039.0,29.162656400385,12.1473339608516,46.1779788399184,8.68128695894562,29.7685054466815,0.658987350850532,576.0,7010.0,8.21683309557775,4.00069282708314,12.4329733640724,2.15109197372174,26.1790880829677,0.307998382246799,374.0,1472.0,25.4076086956522,12.4868841145424,38.328333276762,6.59220641893355,25.9457963868187,0.572620226262767,10574.0,22386.0,47.234878942196,40.0907141712444,54.3790437131476,3.6449820259957,7.71671719632493,0.908350865109625,,,,,,,,,1468.0,5444.0,26.9654665686995,17.8941919598259,36.0367411775731,4.62820133105797,17.1634387236237,0.913826925699007,,,,,,,,,45314,180411,25.1170937470553,23.3490476833596,26.885139810751,0.902064318212082,3.59143588544291,0.695093772233844,6017.0,6017.0,8.0,28.0,1347.0,2.07869339272457,0.0,5.4249421593336,1.70726977888216,82.1318711483666,0.0741210798166822,5.0,119.0,4.20168067226891,0.0,20.8233594916151,8.48044837721744,201.834671377775,0.0782784619546679,137.0,390.0,35.1282051282051,0.0,73.0703872715447,19.3582561955814,55.1074446443558,0.602586573938383,3623.0,7652.0,47.3470987976999,36.5799916087204,58.1142059866795,5.49342203519363,11.6024469813143,0.772138524232956,24.0,62.0,38.7096774193548,0.0,100.0,33.8432618815063,87.4284265272246,0.735400865857231,6455.0,26199.0,24.638344974999,20.1661401256842,29.1105498243139,2.28173716801778,9.26091898759067,0.991650571140849,402.0,2414.0,16.6528583264292,5.31437244018589,27.9913442126724,5.78494177869555,34.7384314770424,0.590720092183239,96.0,127.0,75.5905511811024,22.9217034208322,100.0,26.8718611021787,35.5492329164239,2.00229685229717,10770.0,38310.0,28.1127642913078,23.9899723321154,32.2355562505001,2.10346528530221,7.48224281150674,0.60827903363476
Fresno,84084,292966,28.70094140617,27.4352685599147,29.9666142524253,0.64575145217109,2.24993125846482,1.25305114299113,2788.0,4445.0,62.7221597300337,51.2879619597276,74.1563575003398,5.83377437260514,9.30097815144543,1.41733007146678,46489.0,90627.0,51.2970748231763,47.4860245170748,55.1081251292778,1.94441342148037,3.7904957118566,1.92281087807838,27636.0,43287.0,63.843648208469,58.1264899799276,69.5608064370104,2.91691746354155,4.56884521075131,1.4388667867366,306254.0,486144.0,62.9965606898368,61.1414479778584,64.8516734018152,0.946486077540009,1.50244087482812,1.21145606134762,758.0,1267.0,59.82636148382,35.7622292394259,83.8904937282141,12.2776184920378,20.5220879015988,1.50345238241074,8034.0,19013.0,42.2552990059433,36.6969592344639,47.8136387774227,2.83588763850991,6.7113183558612,1.43198078500578,600.0,1787.0,33.5758254057079,17.0062064186106,50.1454443928052,8.45388723831493,25.1784941581146,0.94368832308923,476643,939536,50.7317441801059,49.5714445266706,51.8920438335412,0.59198961909965,1.16690176666899,1.40395699396099,6019.0,6019.0,10.0,16572.0,26275.0,63.0713606089439,57.8082801005963,68.3344411172914,2.68524515732017,4.25747142822757,2.24896916986627,650.0,994.0,65.3923541247485,48.0616342120813,82.7230740374157,8.8422040370751,13.5217704813118,1.21827747126631,10467.0,13231.0,79.10966669186,73.4778908679117,84.7414425158083,2.87335501221853,3.63211619056686,1.35704123917734,127600.0,176880.0,72.1393034825871,70.2603695306202,74.0182374345539,0.958639771411655,1.3288730624396,1.17645086488264,205.0,278.0,73.7410071942446,42.9752945736408,100.0,15.6967921533693,21.2863815543252,1.40092101394565,19203.0,52558.0,36.5367784162259,32.9156104876752,40.1579463447766,1.84753465742382,5.05664357261266,1.47054184121791,3600.0,7562.0,47.6064533192277,39.3848761925637,55.8280304458918,4.19468220748165,8.81116301471562,1.68872441847534,91.0,511.0,17.8082191780822,0.0,44.0672351683291,13.3974571378811,75.2318746973323,0.47171690969501,178388.0,278289.0,64.1017072180359,62.5807127554733,65.6227016805985,0.776017582940106,1.21060361200764,1.38697582766634
Glenn,5374,14855,36.1763715920565,30.1810145329592,42.1717286511538,3.05885564239656,8.45539645846687,1.57942010093624,172.0,482.0,35.6846473029046,17.0648874458935,54.3044071599157,9.49987747806688,26.6217496769083,0.806364511837345,534.0,685.0,77.956204379562,36.2495200513495,100.0,21.2789205756186,27.2959936222823,2.92209718217694,,,,,,,,,6689.0,10927.0,61.2153381531985,49.6089244904969,72.8217518159001,5.92163962382737,9.67345734333408,1.17720224153603,,,,,,,,,,,,,,,,,,,,,,,,,13063,27568,47.3846488682531,41.5868060211859,53.1824917153203,2.95808308523835,6.24270339844222,1.31132903589499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
