county,num_of_indiv_A0,num_of_indiv_A1,num_of_indiv_A2,num_of_indiv_A3,num_of_indiv_A4,num_of_indiv_A5,num_of_indiv_A6,num_of_indiv_A7,num_of_indiv_A8,num_of_indiv_A9,num_of_indiv_A10,num_of_indiv_A11,num_of_indiv_A12,num_of_indiv_A13,num_of_indiv_A14,num_of_indiv_A15,num_of_indiv_A16,num_of_indiv_A17,num_of_indiv_A18,num_of_indiv_A19,num_of_indiv_A20,Grand Total
Alameda,8589,8220.583333,8142.166667,8063.5,8050.916667,8369.166667,8586.25,8797.083333,8515.083333,8100.166667,7785.25,7708,7464.083333,7323,7334.5,7285.416667,7184.333333,7256.5,7135.416667,5914.083333,5709.666667,7692.103175
Amador,189.25,159.4166667,156.0833333,159.6666667,145.0833333,147.4166667,152.75,159.75,160.0833333,163.4166667,158.75,142.6666667,147.3333333,143.5833333,135.25,144,125.5,143,135.5,124.1666667,94.66666667,147.015873
Butte,1807.333333,1629.333333,1540.083333,1512.833333,1580.166667,1581.583333,1559.75,1594.666667,1598,1531.916667,1410.083333,1413,1377.583333,1375.083333,1356.083333,1298.583333,1338.75,1350.5,1332.5,1382.166667,1363.083333,1473.003968
Calaveras,243.8333333,227.6666667,206.4166667,208.6666667,212.4166667,225.75,228.5,233.8333333,224.9166667,225.5833333,219.25,202.5,209.6666667,188.1666667,199,228.0833333,219.75,210.8333333,195.1666667,177.6666667,159.25,211.7579365
Colusa,240.8333333,233.8333333,241.75,233.6666667,237.9166667,247.8333333,275.25,289.1666667,293.25,268.25,248.5,243.8333333,233.75,223.9166667,217.5833333,216.5833333,224.5,229.75,187.6666667,165.25,150.25,233.4920635
Contra Costa,5875,5580,5584.833333,5465.083333,5638.833333,5667.916667,5744.25,5967.166667,6005.833333,5606.583333,5542.416667,5420,5330.666667,5332.25,5318.083333,5217.416667,5202.333333,5240.5,4894.75,4260.916667,3921.5,5372.206349
Del Norte,268,263.75,241.6666667,235.4166667,244.75,247.1666667,223.5,229.5,261,235.8333333,196.25,199.75,194.9166667,186.1666667,195.75,200.6666667,193.6666667,203.5833333,199.4166667,165.6666667,169.5833333,216.952381
El Dorado,831,743.1666667,698.0833333,739.3333333,737.8333333,770.4166667,776.5,794.5,809.6666667,792,732.25,722.8333333,721.9166667,687.6666667,642.0833333,674,642.75,641.5833333,615.3333333,515.9166667,489.5,703.7301587
Fresno,12820.83333,12211.16667,12037.25,11862.08333,11959.16667,11924.16667,11876.16667,12387,12005.91667,11343,11040.83333,10570.91667,10283.33333,9874.916667,9874.833333,9662.083333,9560,9399.083333,9202,7840.583333,7872.083333,10743.21032
Glenn,322.6666667,305.8333333,273.3333333,265.75,279.1666667,305.3333333,331.1666667,314.4166667,316.75,310.5,305.0833333,277.75,255.5833333,253.5833333,271,258.6666667,275.1666667,272.1666667,243.0833333,178.3333333,170.6666667,275.5238095
