county,adolescent_birth_population,adolescent_birth_births,adolescent_birth_abr,adolescent_birth_lower,adolescent_birth_upper,births_adolescent_birth
Alameda,154934,1508,9.7,9.2,10.2,1508.0
Amador,2919,S,0.0,0.0,0.0,
Butte,25951,420,16.2,14.7,17.7,420.0
Calaveras,3995,S,0.0,0.0,0.0,
Colusa,2451,S,0.0,0.0,0.0,
Contra Costa,106449,1178,11.1,10.5,11.7,1178.0
Del Norte,2504,S,0.0,0.0,0.0,
El Dorado,18809,159,8.5,7.2,9.8,159.0
Fresno,120564,3592,29.8,28.8,30.8,3592.0
Glenn,3193,S,0.0,0.0,0.0,
Humboldt,14356,208,14.5,12.5,16.5,208.0
Imperial,20747,784,37.8,35.2,40.4,784.0
Inyo,1598,S,0.0,0.0,0.0,
Kern,104299,3716,35.6,34.5,36.7,3716.0
Kings,17292,554,32.0,29.3,34.7,554.0
Lake,5447,167,30.7,26.0,35.4,167.0
Lassen,2371,S,0.0,0.0,0.0,
Los Angeles,1075590,18423,17.1,16.9,17.3,18423.0
Madera,17290,617,35.7,32.9,38.5,617.0
Marin,21136,159,7.5,6.3,8.7,159.0
Mariposa,1482,S,0.0,0.0,0.0,
Mendocino,7843,194,24.7,21.2,28.2,194.0
Merced,35518,1043,29.4,27.6,31.2,1043.0
Modoc,928,S,0.0,0.0,0.0,
Mono,1116,S,0.0,0.0,0.0,
Monterey,47469,1333,28.1,26.6,29.6,1333.0
Napa,14268,179,12.5,10.7,14.3,179.0
Nevada,8323,S,0.0,0.0,0.0,
Orange,338730,4166,12.3,11.9,12.7,4166.0
Placer,35657,272,7.6,6.7,8.5,272.0
Plumas,1566,S,0.0,0.0,0.0,
Riverside,273621,5394,19.7,19.2,20.2,5394.0
Sacramento,159485,2671,16.7,16.1,17.3,2671.0
San Benito,6668,126,18.9,15.6,22.2,126.0
San Bernardino,251903,6176,24.5,23.9,25.1,6176.0
San Diego,330756,5245,15.9,15.5,16.3,5245.0
San Francisco,51821,390,7.5,6.8,8.2,390.0
San Joaquin,85522,1857,21.7,20.7,22.7,1857.0
San Luis Obispo,30894,366,11.8,10.6,13.0,366.0
San Mateo,59276,611,10.3,9.5,11.1,611.0
Santa Barbara,57042,1091,19.1,18.0,20.2,1091.0
Santa Clara,177194,1874,10.6,10.1,11.1,1874.0
Santa Cruz,35743,440,12.3,11.2,13.4,440.0
Shasta,16714,362,21.7,19.5,23.9,362.0
Sierra,207,S,0.0,0.0,0.0,
Siskiyou,3978,S,0.0,0.0,0.0,
Solano,44831,671,15.0,13.9,16.1,671.0
Sonoma,48925,528,10.8,9.9,11.7,528.0
Stanislaus,63697,1603,25.2,24.0,26.4,1603.0
Sutter,10649,220,20.7,18.0,23.4,220.0
Tehama,6500,193,29.7,25.5,33.9,193.0
Trinity,1191,S,0.0,0.0,0.0,
Tulare,55157,1984,36.0,34.4,37.6,1984.0
Tuolumne,4292,S,0.0,0.0,0.0,
Ventura,89985,1497,16.6,15.8,17.4,1497.0
Yolo,30778,273,8.9,7.8,10.0,273.0
Yuba,8125,234,28.8,25.1,32.5,234.0
