,year,zip_code,causes_of_death,count
136080,2015,90001,ALZ,<11
136081,2015,90001,CAN,52
136082,2015,90001,CLD,<11
136083,2015,90001,DIA,16
136084,2015,90001,HOM,<11
136085,2015,90001,HTD,55
136086,2015,90001,HYP,<11
136087,2015,90001,INJ,18
136088,2015,90001,LIV,16
136089,2015,90001,NEP,<11
136090,2015,90001,OTH,39
136091,2015,90001,PNF,<11
136092,2015,90001,STK,17
136093,2015,90001,SUI,<11
136094,2015,90002,ALZ,<11
136095,2015,90002,CAN,60
136096,2015,90002,CLD,<11
136097,2015,90002,DIA,19
136098,2015,90002,HOM,<11
136099,2015,90002,HTD,67
136100,2015,90002,HYP,<11
136101,2015,90002,INJ,<11
136102,2015,90002,LIV,<11
136103,2015,90002,NEP,13
136104,2015,90002,OTH,36
136105,2015,90002,PNF,<11
136106,2015,90002,STK,19
136107,2015,90002,SUI,<11
136108,2015,90003,ALZ,18
136109,2015,90003,CAN,77
136110,2015,90003,CLD,16
136111,2015,90003,DIA,12
136112,2015,90003,HOM,19
136113,2015,90003,HTD,76
136114,2015,90003,HYP,<11
136115,2015,90003,INJ,26
136116,2015,90003,LIV,14
136117,2015,90003,NEP,11
136118,2015,90003,OTH,52
136119,2015,90003,PNF,<11
136120,2015,90003,STK,16
136121,2015,90003,SUI,<11
136122,2015,90004,ALZ,22
136123,2015,90004,CAN,61
136124,2015,90004,CLD,<11
136125,2015,90004,DIA,11
136126,2015,90004,HOM,<11
136127,2015,90004,HTD,80
136128,2015,90004,HYP,<11
136129,2015,90004,INJ,11
136130,2015,90004,LIV,<11
136131,2015,90004,NEP,<11
136132,2015,90004,OTH,32
136133,2015,90004,PNF,<11
136134,2015,90004,STK,17
136135,2015,90004,SUI,<11
136136,2015,90005,ALZ,<11
136137,2015,90005,CAN,43
136138,2015,90005,CLD,<11
136139,2015,90005,DIA,12
136140,2015,90005,HOM,<11
136141,2015,90005,HTD,48
136142,2015,90005,HYP,<11
136143,2015,90005,INJ,<11
136144,2015,90005,LIV,<11
136145,2015,90005,NEP,<11
136146,2015,90005,OTH,19
136147,2015,90005,PNF,<11
136148,2015,90005,STK,<11
136149,2015,90005,SUI,<11
136150,2015,90006,ALZ,<11
136151,2015,90006,CAN,48
136152,2015,90006,CLD,<11
136153,2015,90006,DIA,<11
136154,2015,90006,HOM,<11
136155,2015,90006,HTD,83
136156,2015,90006,HYP,<11
136157,2015,90006,INJ,12
136158,2015,90006,LIV,13
136159,2015,90006,NEP,<11
136160,2015,90006,OTH,31
136161,2015,90006,PNF,21
136162,2015,90006,STK,21
136163,2015,90006,SUI,<11
136164,2015,90007,ALZ,<11
136165,2015,90007,CAN,31
136166,2015,90007,CLD,<11
136167,2015,90007,DIA,<11
136168,2015,90007,HOM,<11
136169,2015,90007,HTD,36
136170,2015,90007,HYP,<11
136171,2015,90007,INJ,<11
136172,2015,90007,LIV,11
136173,2015,90007,NEP,<11
136174,2015,90007,OTH,18
136175,2015,90007,PNF,<11
136176,2015,90007,STK,12
136177,2015,90007,SUI,<11
136178,2015,90008,ALZ,17
136179,2015,90008,CAN,70
136180,2015,90008,CLD,12
136181,2015,90008,DIA,15
136182,2015,90008,HOM,<11
136183,2015,90008,HTD,98
136184,2015,90008,HYP,<11
136185,2015,90008,INJ,<11
136186,2015,90008,LIV,<11
136187,2015,90008,NEP,14
136188,2015,90008,OTH,44
136189,2015,90008,PNF,11
136190,2015,90008,STK,24
136191,2015,90008,SUI,0
136192,2015,90010,ALZ,<11
136193,2015,90010,CAN,<11
136194,2015,90010,CLD,<11
136195,2015,90010,DIA,<11
136196,2015,90010,HOM,0
136197,2015,90010,HTD,<11
136198,2015,90010,HYP,0
136199,2015,90010,INJ,0
136200,2015,90010,LIV,0
136201,2015,90010,NEP,<11
136202,2015,90010,OTH,<11
136203,2015,90010,PNF,<11
136204,2015,90010,STK,0
136205,2015,90010,SUI,<11
136206,2015,90011,ALZ,13
136207,2015,90011,CAN,101
136208,2015,90011,CLD,<11
136209,2015,90011,DIA,21
136210,2015,90011,HOM,15
136211,2015,90011,HTD,83
136212,2015,90011,HYP,13
136213,2015,90011,INJ,14
136214,2015,90011,LIV,21
136215,2015,90011,NEP,<11
136216,2015,90011,OTH,57
136217,2015,90011,PNF,15
136218,2015,90011,STK,24
136219,2015,90011,SUI,<11
136220,2015,90012,ALZ,<11
136221,2015,90012,CAN,57
136222,2015,90012,CLD,<11
136223,2015,90012,DIA,<11
136224,2015,90012,HOM,<11
136225,2015,90012,HTD,54
136226,2015,90012,HYP,16
136227,2015,90012,INJ,<11
136228,2015,90012,LIV,<11
136229,2015,90012,NEP,<11
136230,2015,90012,OTH,16
136231,2015,90012,PNF,14
136232,2015,90012,STK,16
136233,2015,90012,SUI,<11
136234,2015,90013,ALZ,0
136235,2015,90013,CAN,27
136236,2015,90013,CLD,<11
136237,2015,90013,DIA,<11
136238,2015,90013,HOM,<11
136239,2015,90013,HTD,39
136240,2015,90013,HYP,<11
136241,2015,90013,INJ,14
136242,2015,90013,LIV,<11
136243,2015,90013,NEP,<11
136244,2015,90013,OTH,24
136245,2015,90013,PNF,<11
136246,2015,90013,STK,<11
136247,2015,90013,SUI,<11
136248,2015,90014,ALZ,0
