county,infant_mortality_rate,infant_mortality_lower,infant_mortality_upper
Alameda,4.0,3.5,4.5
Amador,,,
Butte,4.5,3.2,6.2
Calaveras,,,
Colusa,,,
Contra Costa,3.4,2.9,4.1
Del Norte,,,
El Dorado,3.1,1.9,5.1
Fresno,6.8,6.1,7.6
Glenn,,,
Humboldt,7.3,5.1,10.2
Imperial,3.8,2.7,5.3
Inyo,,,
Kern,6.1,5.4,6.9
Kings,4.7,3.3,6.6
Lake,,,
Lassen,,,
Los Angeles,4.3,4.1,4.5
Madera,5.2,3.8,7.2
Marin,2.2,1.3,3.6
Mariposa,,,
Mendocino,9.4,6.5,13.4
Merced,4.0,3.0,5.2
Modoc,,,
Mono,,,
Monterey,5.3,4.4,6.5
Napa,3.7,2.3,6.0
Nevada,,,
Orange,3.1,2.8,3.5
Placer,3.9,2.9,5.2
Plumas,,,
Riverside,4.5,4.1,5.0
Sacramento,5.2,4.6,5.8
San Benito,,,
San Bernardino,6.2,5.7,6.7
San Diego,3.9,3.6,4.2
San Francisco,2.8,2.2,3.5
San Joaquin,5.4,4.6,6.3
San Luis Obispo,4.8,3.5,6.6
San Mateo,3.1,2.5,3.8
Santa Barbara,4.6,3.7,5.8
Santa Clara,3.3,2.9,3.8
Santa Cruz,4.3,3.1,5.9
Shasta,4.4,3.0,6.3
Sierra,,,
Siskiyou,,,
Solano,5.7,4.6,7.0
Sonoma,3.0,2.2,4.0
Stanislaus,5.1,4.3,6.1
Sutter,5.8,3.8,8.6
Tehama,4.6,2.6,8.2
Trinity,,,
Tulare,6.2,5.2,7.3
Tuolumne,8.7,5.0,15.2
Ventura,3.9,3.2,4.7
Yolo,4.7,3.4,6.6
Yuba,7.5,5.2,10.9
