county,std_gonorrhea_cases,std_gonorrhea_rate,std_gonorrhea_lower,std_gonorrhea_upper,std_gonorrhea_supressed
Alameda,2802,172.9,166.5,179.4,0
Amador,18,48.2,28.6,76.2,0
Butte,315,140.5,125.4,156.9,0
Calaveras,18,40.1,23.8,63.4,0
Colusa,10,44.9,21.5,82.6,1
Contra Costa,1317,117.9,111.6,124.4,0
Del Norte,34,125.6,87.0,175.4,0
El Dorado,79,43.1,34.2,53.8,0
Fresno,1753,178.9,170.7,187.5,0
Glenn,25,86.3,55.9,127.4,0
Humboldt,239,177.0,155.3,200.9,0
Imperial,74,40.0,31.4,50.2,0
Inyo,4,21.5,5.8,54.9,1
Kern,1545,174.9,166.3,183.8,0
Kings,169,112.8,96.4,131.1,0
Lake,149,229.9,194.5,269.8,0
Lassen,9,29.1,13.3,55.2,1
Los Angeles,17611,173.0,170.5,175.6,0
Madera,159,102.7,87.4,120.0,0
Marin,164,62.7,53.5,73.0,0
Mariposa,9,49.8,22.8,94.4,1
Mendocino,91,103.1,83.0,126.6,0
Merced,338,125.2,112.3,139.3,0
Modoc,0,0.0,0.0,38.8,0
Mono,2,14.5,1.8,52.2,1
Monterey,305,70.1,62.4,78.4,0
Napa,76,53.8,42.4,67.4,0
Nevada,44,44.9,32.6,60.2,0
Orange,2322,73.4,70.5,76.5,0
Placer,178,48.0,41.2,55.6,0
Plumas,5,25.5,8.3,59.5,1
Riverside,2166,92.9,89.0,96.9,0
Sacramento,2872,192.9,185.9,200.1,0
San Benito,74,128.5,100.9,161.3,0
San Bernardino,2758,129.6,124.8,134.5,0
San Diego,3691,112.7,109.1,116.4,0
San Francisco,4485,518.6,503.6,534.0,0
San Joaquin,1250,171.7,162.3,181.5,0
San Luis Obispo,169,61.1,52.2,71.1,0
San Mateo,539,70.5,64.7,76.7,0
Santa Barbara,336,75.6,67.7,84.1,0
Santa Clara,1784,93.0,88.7,97.4,0
Santa Cruz,181,65.9,56.7,76.3,0
Shasta,366,205.2,184.7,227.3,0
Sierra,3,95.3,19.7,278.2,1
Siskiyou,8,18.0,7.8,35.4,1
Solano,686,159.8,148.1,172.2,0
Sonoma,443,88.4,80.4,97.1,0
Stanislaus,753,140.1,130.2,150.4,0
Sutter,96,98.3,79.7,120.1,0
Tehama,73,114.1,89.4,143.4,0
Trinity,12,88.5,45.7,154.5,0
Tulare,671,144.5,133.8,155.9,0
Tuolumne,34,62.4,43.2,87.1,0
Ventura,621,72.9,67.3,78.8,0
Yolo,189,88.8,76.6,102.4,0
Yuba,81,107.2,85.1,133.2,0
