county,std_syphilis_cases,std_population,std_syphilis_rate,std_syphilis_lower,std_syphilis_upper,std_syphilis_supressed
Alameda,277,1621005,17.1,15.1,19.2,0
Amador,3,37313,8.0,1.7,23.5,1
Butte,14,224180,6.2,3.4,10.5,0
Calaveras,5,44899,11.1,3.6,26.0,1
Colusa,2,22271,9.0,1.1,32.4,1
Contra Costa,137,1117459,12.3,10.3,14.5,0
Del Norte,0,27080,0.0,0.0,13.6,0
El Dorado,8,183147,4.4,1.9,8.6,1
Fresno,376,979636,38.4,34.6,42.5,0
Glenn,0,28960,0.0,0.0,12.7,0
Humboldt,2,135032,1.5,0.2,5.4,1
Imperial,18,185072,9.7,5.8,15.4,0
Inyo,0,18640,0.0,0.0,19.8,0
Kern,253,883494,28.6,25.2,32.4,0
Kings,40,149832,26.7,19.1,36.4,0
Lake,4,64815,6.2,1.7,15.8,1
Lassen,1,30958,3.2,0.1,18.0,1
Los Angeles,3484,10179482,34.2,33.1,35.4,0
Madera,26,154753,16.8,11.0,24.6,0
Marin,26,261669,9.9,6.5,14.6,0
Mariposa,2,18088,11.1,1.3,39.9,1
Mendocino,8,88264,9.1,3.9,17.9,1
Merced,26,269870,9.6,6.3,14.1,0
Modoc,0,9510,0.0,0.0,38.8,0
Mono,2,13841,14.5,1.8,52.2,1
Monterey,56,435342,12.9,9.7,16.7,0
Napa,11,141183,7.8,3.9,13.9,1
Nevada,3,98067,3.1,0.6,8.9,1
Orange,456,3162622,14.4,13.1,15.8,0
Placer,23,370973,6.2,3.9,9.3,0
Plumas,0,19598,0.0,0.0,18.8,0
Riverside,413,2331960,17.7,16.0,19.5,0
Sacramento,337,1488600,22.6,20.3,25.2,0
San Benito,7,57587,12.2,4.9,25.0,1
San Bernardino,242,2128499,11.4,10.0,12.9,0
San Diego,841,3274141,25.7,24.0,27.5,0
San Francisco,1231,864783,142.3,134.5,150.5,0
San Joaquin,198,728110,27.2,23.5,31.3,0
San Luis Obispo,19,276534,6.9,4.1,10.7,0
San Mateo,97,764711,12.7,10.3,15.5,0
Santa Barbara,62,444491,13.9,10.7,17.9,0
Santa Clara,227,1918777,11.8,10.3,13.5,0
Santa Cruz,51,274563,18.6,13.8,24.4,0
Shasta,12,178365,6.7,3.5,11.8,0
Sierra,0,3149,0.0,0.0,117.1,0
Siskiyou,0,44491,0.0,0.0,8.3,0
Solano,71,429272,16.5,12.9,20.9,0
Sonoma,77,500919,15.4,12.1,19.2,0
Stanislaus,111,537608,20.6,17.0,24.9,0
Sutter,3,97617,3.1,0.6,9.0,1
Tehama,1,63977,1.6,0.0,8.7,1
Trinity,0,13562,0.0,0.0,27.2,0
Tulare,51,464337,11.0,8.2,14.4,0
Tuolumne,5,54529,9.2,3.0,21.4,1
Ventura,53,852199,6.2,4.7,8.1,0
Yolo,33,212850,15.5,10.7,21.8,0
Yuba,0,75579,0.0,0.0,4.9,0
