county,adolescent_birth_population,adolescent_birth_births,adolescent_birth_abr,adolescent_birth_lower,adolescent_birth_upper,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,infant_mortality_lower,infant_mortality_upper,std_chlamydia_cases,std_chlamydia_rate,std_chlamydia_lower,std_chlamydia_upper,std_chlamydia_supressed,std_gonorrhea_cases,std_gonorrhea_rate,std_gonorrhea_lower,std_gonorrhea_upper,std_gonorrhea_supressed,std_syphilis_cases,std_population,std_syphilis_rate,std_syphilis_lower,std_syphilis_upper,std_syphilis_supressed
Alameda,154934,1508,9.7,9.2,10.2,58.0,11.2,0,4.0,3.5,4.5,8068,497.7,486.9,508.7,0,2802,172.9,166.5,179.4,0,277,1621005,17.1,15.1,19.2,0
Amador,2919,S,0.0,0.0,0.0,0.0,0.0,0,,,,66,176.9,136.8,225.0,0,18,48.2,28.6,76.2,0,3,37313,8.0,1.7,23.5,1
Butte,25951,420,16.2,14.7,17.7,7.0,,1,4.5,3.2,6.2,1131,504.5,475.6,534.7,0,315,140.5,125.4,156.9,0,14,224180,6.2,3.4,10.5,0
Calaveras,3995,S,0.0,0.0,0.0,,,1,,,,62,138.1,105.9,177.0,0,18,40.1,23.8,63.4,0,5,44899,11.1,3.6,26.0,1
Colusa,2451,S,0.0,0.0,0.0,,,1,,,,60,269.4,205.6,346.6,0,10,44.9,21.5,82.6,1,2,22271,9.0,1.1,32.4,1
Contra Costa,106449,1178,11.1,10.5,11.7,40.0,10.6,0,3.4,2.9,4.1,4715,421.9,410.0,434.1,0,1317,117.9,111.6,124.4,0,137,1117459,12.3,10.3,14.5,0
Del Norte,2504,S,0.0,0.0,0.0,,,1,,,,94,347.1,280.6,424.6,0,34,125.6,87.0,175.4,0,0,27080,0.0,0.0,13.6,0
El Dorado,18809,159,8.5,7.2,9.8,7.0,,1,3.1,1.9,5.1,422,230.4,209.0,253.5,0,79,43.1,34.2,53.8,0,8,183147,4.4,1.9,8.6,1
Fresno,120564,3592,29.8,28.8,30.8,39.0,14.5,0,6.8,6.1,7.6,5920,604.3,589.1,619.9,0,1753,178.9,170.7,187.5,0,376,979636,38.4,34.6,42.5,0
Glenn,3193,S,0.0,0.0,0.0,,,1,,,,91,314.2,253.1,385.7,0,25,86.3,55.9,127.4,0,0,28960,0.0,0.0,12.7,0
Humboldt,14356,208,14.5,12.5,16.5,10.0,,1,7.3,5.1,10.2,622,460.6,425.2,498.2,0,239,177.0,155.3,200.9,0,2,135032,1.5,0.2,5.4,1
Imperial,20747,784,37.8,35.2,40.4,,,1,3.8,2.7,5.3,737,398.2,370.0,428.0,0,74,40.0,31.4,50.2,0,18,185072,9.7,5.8,15.4,0
Inyo,1598,S,0.0,0.0,0.0,0.0,0.0,0,,,,55,295.1,222.4,383.9,0,4,21.5,5.8,54.9,1,0,18640,0.0,0.0,19.8,0
Kern,104299,3716,35.6,34.5,36.7,22.0,9.3,0,6.1,5.4,6.9,6118,692.5,675.3,710.0,0,1545,174.9,166.3,183.8,0,253,883494,28.6,25.2,32.4,0
Kings,17292,554,32.0,29.3,34.7,6.0,,1,4.7,3.3,6.6,593,395.8,364.6,428.9,0,169,112.8,96.4,131.1,0,40,149832,26.7,19.1,36.4,0
Lake,5447,167,30.7,26.0,35.4,,,1,,,,253,390.3,343.8,441.4,0,149,229.9,194.5,269.8,0,4,64815,6.2,1.7,15.8,1
Lassen,2371,S,0.0,0.0,0.0,0.0,0.0,0,,,,78,252.0,199.2,314.4,0,9,29.1,13.3,55.2,1,1,30958,3.2,0.1,18.0,1
